Folder,Folder Title,Identifier ,City/Town ,Survey Title,Document Form / Genre,Date,Date Statement,Date Year,Surveyor,Publisher,Property Owner,Neighbors,Scale,Latitude,Longitude,Streets,Notes,Background Notes,Related Registry Documents,No. of Sheets,Panels / Pieces,Sides,Dimensions (in.),Material Type,Condition Notes,Extent,,,,,,,,,,,,,,,,,,,
1,Massachusetts - Arlington - Brookline,Severy_Billerica-002,"Billerica, MA","Plan of Central Park, Billerica, Mass. ",Survey,1913-11 to 1913-12,1913 Nov-Dec,1913,Robert B. Bellamy ; John N. McClintock,,James E. Burke,,1 in = 60 ft,42.531964,-71.270979,Beech near what is now Eliot; planned streets include Ash; Pine; Willow.,Plan for housing development of over 1000 lots.  Penciled notations of lines and additional lots numbers for a potential over 1700 lots.  ,"May have been a preliminary version of a development titled Central Park that later on was developed in Billerica near Long Pond.  Middlesex North Registry Plan 31/49 shows a plan filed by Bellamy and McClintock for survey work done between 11/1913 and 3/1914 for a dense subdivision off of Salem Road (Plan #31/49, sheet 3). ","Northern Middlesex Plan #31/49, sheet 3",1,Folded,1,79 x 41 ,Blueprint,"Backed, binding taped, folded","1 sheet, blueprint, 79 x 41, folded, binding taped, and backed",,,,,,,,,,,,,,,,,,,
1,Massachusetts - Arlington - Brookline,Severy_Billerica-003,"Billerica, MA","Westlake Terrace in Billerica & Tewksbury, MA",Survey,,Not Dated,,"O.M. Snell, G.E., Lowell, MA",,,,1 in = 40 ft,42.594649,-71.256192,At Oak; Westlake; Nourse; Gunnison; and Tewksbury.,Subdivision plan featuring 89 numbered or lettered lots.   ,"May be current development between Oak Street and Shoreline Rd, near Long Pond.  See item Tewksbury #002 for Charles Everett Terrace, which straddles North Billerica. In the 1910s, Billerica was experimenting with planned developments; see Billerica Garden Suburbs by Arthur C. Comey (https://books.google.com/books); O.M. Snell, C.E. designed the Rivermere Development and Concord River Park (https://books.google.com/books?id=KQBZAAAAMAAJ).",,1,,1,33 x 23,Blueprint,Backed,"1 sheet, blueprint, approx.33 x 23. Backed.",,,,,,,,,,,,,,,,,,,
1,Massachusetts - Arlington - Brookline,Severy_Billerica-004,"Billerica, MA",[Untitled Lot Development in Billerica],Survey,,Not Dated,,,,,John A. Richardson,,42.574708,-71.261781,Salem Road (Rte. 129); Pond Street; Middlesex Canal,Subdivision plan.,"Location inferred from street names. Part of proposed subdivision may have been built, based on current street configuration.",,1,,1,30 x 18,Blueprint,Frayed edges.,"1 sheet, blueprint, approx. 30 x 18",,,,,,,,,,,,,,,,,,,
1,Massachusetts - Arlington - Brookline,Severy_Braintree-001,"Braintree, MA","Sketch Showing Proposed Widening & Straightening of Washington Street, South Braintree, Mass.",Survey,1896-08,[August 1896],1896,"White & Wetherbee, Civil Engineers",,,J.S. Dyer; Brainard Dyer; Emma Madden; Frances Finnegan; Francisa Finnegan; John Finnegan; John Kelly; Gill; Michael Branley ,1 in = 40 ft,42.197658,-71.005503,2; 149; 161 Hancock Street; 1142 and 1150 Washington St.,Street layout showing abutters.,"Probably relates to 1898 plan, ""Plan of Hancock Avenue as laid out by the Board of Selectmen, Braintree"" dated 5/13/1898 and filed  in registry. Probably reflected taking of land by town for new street, possibly as part of a subdivision of the Judge French estate.  White & Wetherbee were civil engineers based in Braintree and did many drawings filed in Norfolk Registry.  H.L. White served as superintendent of streets in Braintree. The firm did work on the Olmsted Estate in Brookline.",Norfolk Plan #25-1139,1,,1,29 x 25,Vellum,,"1 sheet, vellum, approx. 29 x 25 in.",,,,,,,,,,,,,,,,,,,
1,Massachusetts - Arlington - Brookline,Severy_Braintree-002,"Braintree, MA","Washington Street, Braintree",Survey,1903,Not Dated,1903,"[White & Wetherbee, Civil Engineers]",,,,1 in = 40 ft; Vert: 1 in = 4 ft,42.205778,-71.003315,30 and 31 Washington Park Road. French Avenue; Meadowbrook Road; Tenney; Washington Street,Preliminary lot plans and elevations.,Norfolk registry contains subsequent surveys that Bellamy did for this development in the 1940s.  White & Weatherbee did subdivision plan in 1902 for Judge Asa French; Bellamy may have used the firm's plans as basis for his own surveys.,Norfolk Plan Bk/Pg: 126-767 (Plan #1940-767); ; D2340-241; D2350-77,1,2 panels stitched or taped together,1,22 x 20,Kraft paper,Backed.,"2 sheets stitched together, 22 x 20 in, kraft paper, backed",,,,,,,,,,,,,,,,,,,
1,Massachusetts - Arlington - Brookline,Severy_Brighton-001,"Brighton (Boston, MA)",[Linden Street at Brighton Ave.],Survey,,Not Dated,,,,,,1 in = 10 ft,42.352764,-71.130069,Linden Street and Brighton Avenue.,Dimensioned sketch at intersection of Linden Street and Brighton Ave. ,Town assumed based on street names and occurence of other drawings done in this neighborhood.  Refer to Suffolk County Atlases for lot occupants.,,1,,1,20 x 16,Kraft paper,"Frayed edges, one torn.","1 sheet, 20 x 16, kraft paper",,,,,,,,,,,,,,,,,,,
1,Massachusetts - Arlington - Brookline,Severy_Brighton-002,"Brighton (Boston, MA)",Plan of Street from Commonwealth Ave. to Allston Heights Street. Brighton.,Survey,1903,Not Dated,1903,G.W.; Mer. Hamilton,,,,Horiz: 1 in = 20 ft; Vert: 5 ft = 20 ft,42.349012,-71.139726,Abuts Commonwealth Avenue; per notation Buckminster Street,Shows plan and profiles of east and west sides.  Penciled notations and dimensions. ,"Per 1925 Bromley Brighton Atlas, Allston Heights Street is now Gordon Street, which connects Commonwealth to Cambridge, and which ran into the former Commonwealth Avenue Park.  See http://www.bahistory.org/AllstonHgtHist.html for history of neighborhood.  See Item #Brighton-003 for Commonwealth Avenue Park. By 1916, lower part of what is now Gordon Street was named Buckminster and Commonwealth Avenue Park Realty Co. owned land on either side.",,1,,1,35 x 21,Tracing paper,Frayed edges.,"1 sheet, trace, approx. 35 x 21 in.",,,,,,,,,,,,,,,,,,,
1,Massachusetts - Arlington - Brookline,Severy_Brighton-003,"Brighton (Boston, MA)","Commonwealth Avenue Park, Brighton Mass.",Survey,1915-03-31,3/31/1915,1915,Robert B. Bellamy,,"E.P. Shaw et al, Trustees",,1 in = 6 ft,42.349269,-71.13877,1387 - 1427 Commonwealth Avenue; Allston and Gordon [formerly Buckminster],Displays lots with proposed street.,Built in 1920 as 18-unit complex. 1897 Bromley shows Commonwealth Park as including lots on either sides of Gordon Street and what is now Camelot Court; the park was a cul-de-sac development accessed off a street approximately where Gordon now is. See Item #Brighton-002,,1,,1,17 x 15,Blueprint,Backed,"1 sheet, blueprint, approx. 17 x 15 in., backed",,,,,,,,,,,,,,,,,,,
1,Massachusetts - Arlington - Brookline,Severy_Brookline-001,"Brookline, MA",Plan of Lot In Brookline Mass. Property of Jeanette B. Fine,Survey,1944-10-11,10/11/1944,1944,Robert B. Bellamy,,Jeannette B. Fine,,1 in = 20 ft,42.301287,-71.153866,300 Beverly Road. Grove St.,Lot plan.,The Registry shows a 1944 survey by Walter Devine; per Land Court Doc #99701-1 sold to Fine in a foreclosure recorded 01-09-1945.  Is in the Chestnut Hill section of Brookline.  Beverly Road was previously named Bournewood Road.,Norfolk LC Plan 10950-D Sheet 6 Lot 46A and 10950-X (Lot 46A); Certificate #30931,1,,1,14 x 9.5,Blueprint,Partially torn bottom edge.,"1 sheet, blueprint; 14 x 9 1/2 in",,,,,,,,,,,,,,,,,,,
2,Massachusetts - Boston Proper,Severy_Boston-001,"Boston, MA",No. 14 South Russell Street,Survey,,Not Dated,,,,,,1/2 in = 1 ft,42.360856,-71.06598,14 Russell Street,"Rough sketch showing lot layout and various notations; verso shows faded notes, indicates So. Russell Street, Boston.",Site is at near Cambridge Street and Peter Faneuil House. See Bromley atlases for ownership through 1938. ,,1,,1,29 x 25,Kraft paper,"Frayed edges, taped. Edge shaved off","1 sheet, 29 x 25 in. (edge shaved off), kraft paper",,,,,,,,,,,,,,,,,,,
2,Massachusetts - Boston Proper,Severy_Boston-002,"Boston, MA","Subdivision of Lot B2 shown on plan 7436B. Filed with Cert. of Title No. 12,504 Registry District of Suffolk County. [7436H. Filed SC-E2]",Survey,1931-07-06,7/6/1931,1931,C.B. Humphrey,,,Albert R. Whittier; Anna M. Melville; Lester P. Winchenbaugh; Carrie M. Fergusson,1 in = 120 ft,42.248905,-71.121268,Williams Avenue; Neponset Ave; Dana Ave. Boston/Milton line.  ,Subdivision plan for a single lot. Notation re Land Court Certificate #12504.,Drawing dated 1920 in Suffolk registry. Refers to other plans in 7436 series.  Property owner may have been Helen Dorr Morse.,Suffolk Certificate  12504 [in Enclosure tab],1,,1,10 x 15,Blueprint,,"1 sheet, blueprint, approx. 10 x 15 in.",,,,,,,,,,,,,,,,,,,
2,Massachusetts - Boston Proper,Severy_Boston-003,"Boston, MA",Location of North Side of River Street in Boston,Survey,1908-05-15,5/15/1908,1908,John N. McClintock,,,,1 in= 100 ft,42.265212,-71.099095,Rugby Station R.R. line; Hollingsworth; Rosewood; Rockdale; River Streets.,Preliminary plan for subdivision.,"Near Hyde Park border.  Location variously ascbribed to Boston, Dorchester, Hyde Park. 1904 Dorchester Bromley Atlas shows owners in this area; includes New York New Haven Hartford R.R..     ",,1,,1,18 x 14,Kraft paper,,"1 sheet 18 x 14 in., kraft paper",,,,,,,,,,,,,,,,,,,
2,Massachusetts - Boston Proper,Severy_Boston-004,"Boston, MA",[Plan of Private Garage] [Work No. 2141. Sheet No. 10],Survey,,Not Dated,,M.J. Mastrancello,,,,Various ,,,,Plans and elevations of a garage structure. Details framing.,"Title block indicates done by M.D. Mastrangelo, 369 Hanover Street, Boston, MA.  See other drawings with Mastrangelo.",,1,,1,21.5 x 15,Blueprint,Frayed and slightly torn edges. Faded print image.,"1 sheet, approx. 21.5 x 15 in., blueprint",,,,,,,,,,,,,,,,,,,
2,Massachusetts - Boston Proper,Severy_Boston-005,"Boston, MA","Plan of Property on North Bennet Place, Boston Mass.",Survey,1926-02-25,2/25/1926,1926,Robert B. Bellamy,,Marshall Hopkins-Gould; Boston Baptist Bethel Society - First Mariner's Church,,1 in = 4 ft,42.364993,-71.054162,North Bennet Place; North Bennet Street.,"Details 3 lots, two of which are labelled 4 and 6.  Shows backyards and restricted alleyways.","Spelled either Bennet or Bennett.  Boston Bromley atlases show that this block between N. Bennett Place and Hanover was occupied by the Boston Baptist Bethel, heirs of Fred Gould, and Marshall Gould (Gould was prominent philanthropist).  Various New England institutions, including the BPL, have documents related to Boston Baptist Bethel which was located at 8 North Bennet and aligned with a home for worthy seamen. https://web.library.yale.edu/sites/default/files/files/divinity/ANTS%20Finding%20Aids/ANTS_boston_baptist.pdf",,1,,1,18 x 19,Blueprint,Backed,"1 sheet, blueprint; 18 x 19 in, backed",,,,,,,,,,,,,,,,,,,
2,Massachusetts - Boston Proper,Severy_Boston-006,"Boston, MA","Plan of No 85 Appleton St. Boston, Mass. Property of Thomas E. Folger",Survey,1928-06-26,6/26/1928,1928,Robert B. Bellamy,,Thomas E. Folger,,1 in = 8 ft,42.345668,-71.072746,85 Appleton. Dartmouth; Clarendon; Lawrence Streets.,"Block lot plan showing house footprint. Spotlights No. 85 with partitions connecting to other buildings, fence, alle3y onto Lawrence Street.","Per Bromley Atlases, owned by Folger since after 1917 through at least 1938.  A similar plan by Bellamy dtd. 4/23/1929 filed in land registry.","Suffolk Certificate  26032 [in Cert tab], plan No. 13107-A",1,,1,24 x 18,Blueprint,Backed,"1 sheet, blueprint, 24 x 18 in, backed",,,,,,,,,,,,,,,,,,,
2,Massachusetts - Boston Proper,Severy_Boston-007,"Boston, MA","Apartment Houses for Charles H. Belledue Esq. 1705-1711 Commonwealth Avenue, Boston, Mass.",Survey,1916-05-20,5/20/1916,1916,A.M. Bellamy,,"Charles H. Belledue, Esq.",,,42.341933,-71.147250,1705-1711 Commonwealth Avenue,Detailed ink drawings of apartment layouts. Includes 2 small sheets containing titles.,City of Boston Property database indicates buildings built in 1920.  1911 Brighton Bromley Atlas shows lots owned by different owner with more lots. 1916 shows Belledue owned lots 1-11 on Commonwealth.  1925 Bromley shows renumbering of lots to 1705-1711 and abutters were Marga and C.H. Belledew (check spelling).,,2,,1,24 x 14,Tracing paper,Stored in clear acetate folder.,"2 sheets, approx. 24 x 14 in., trace",,,,,,,,,,,,,,,,,,,
2,Massachusetts - Boston Proper,Severy_Boston-008,"Boston, MA","Plan of Lot in Boston, Mass",Survey,1946-10-05,10/5/1946,1946,Robert B. Bellamy,,,,1 in = 6 in,42.365332,-71.056754,North Margin Street between Thacher and Cooper Streets.,"3 lots numbered 47, 49, and 51.Lot 49 shows 2519 square feet, vacant lot surrounded by brick walls.  Drawing shows location of i-beams. Notes indicate that walls may have been demolished.",,,1,,1,24 x 18,Ink or brownline on vellum,,"1 sheet 24 x 18 in. , vellum",,,,,,,,,,,,,,,,,,,
2,Massachusetts - Boston Proper,Severy_Boston-009,"Boston, MA",Detail Plan. Section 4. Boylston Street Subway. Typical Cross Section. Sta. 59+130.00 to Sta. 64+51.00,Survey,1913-01-24,1/24/1913,1913,C.R.B.; Edmund S. Davis,,[Boston Transit Commission],,1 in = 2 ft,42.352607,-71.064913,Boylston Street,"Plan No. 10611; Drawer No. 232. 1 drawing detailed titled: Detail of colvert where no footing is require. Location and Details of construction of 3'-8"" x 5'10""; storm sewer superseded by plan #10757 approved by chief engineer.  ",Sources: http://www.bostongroundwater.org/uploads/2/0/5/1/20517842/aldrich_and_lambrechts_report_part_2.pdf  Look for other drawings in this set.  Also https://archive.org/details/sim_enr_1913-05-01_69_18  See annual reports by the Boston Transit Commission c. 1916.  Historic New England maintains a drawing archive. Edmund S. Davis was the chief engineer for the Transit Commission.,,1,,1,26 x 20,Blueprint,Backed. Frayed edges.,"1 sheet, approx. 26 x 20 in.",,,,,,,,,,,,,,,,,,,
2,Massachusetts - Boston Proper,Severy_Boston-010,"Boston, MA",Detail Plan. Boston Transit Commission. Section 4. Boylston Street Subway Cross Section. Typical from Sta. 64+92.85-Sta. 66+44.15.,Survey,1913-06,[June 1913],1913,R.E.R.; Edmund S. Davis,,[Boston Transit Commission],,1/4 in = 1 ft,42.352607,-71.064913,,Plan No. 10971; Drawer No. 232    ,See Boston-009,,1,,1,27 x 20,Blueprint,Backed faded.,"1 sheet, blueprint,  approx. 27 x 20 in.",,,,,,,,,,,,,,,,,,,
2,Massachusetts - Boston Proper,Severy_Boston-011,"Boston, MA",Topographic Map of a Part of Stony Brook Reservation Boston Mass,Survey,1909 to 1920,1909-1920,1909,Charles V. Reynolds,,,,1 in= 100 ft,42.266545,-71.142946,Stony Brook Reservation showing Turtle Pond; Washington Street,"Topographic map of Stony Brook Reservation . Notation also credits ""Second Year Students, Mass Institute of Technology.""",,,1,,1,38 x 24,Brown ink on manila,Backed,"1 sheet, approx. 38 x 24 in., backed",,,,,,,,,,,,,,,,,,,
3,Massachusetts - Cambridge - Cohasset,Severy_Cambridge-001,"Cambridge, MA","Plan of Lots in Cambridge, Mass.",Survey,1941-06-30,6/30/1941,1941,Robert B. Bellamy,,Melanson,,1 in = 20 ft,42.393471,-71.155592,1 Loomis Street. Griswold Street; Loomis Street; Sunset Road,"Plot plan detailing three lots, with measurements.",See Cambridge-004. Albert & Helen Melanson is shown on 1930 Bromley Atlas and in 1944 City of Cambridge City Directory (internet archive - https://archive.org/details/manningscambridg1944unse/).,,1,,1,10 x 9,Ink or brownline on vellum,,"1 sheet, approx. 10 x 9 in.",,,,,,,,,,,,,,,,,,,
3,Massachusetts - Cambridge - Cohasset,Severy_Cambridge-002,"Cambridge, MA","Plan of Land in Cambridge, MA",Survey,1926-09-01,9/1/1926,1926,Robert B. Bellamy,,"Peter Hagan, (now or formerly) Flagg, Formerly W. A. Mason",,1 in = 10 ft,42.359216,-71.106252,172 Brookline Street. Erie Street,Plot plan detailing two lots.,"Note indicates property line as referenced by Land Court Plan No. 4450 (1913 by W.A. Mason, scale 20"" inch).  W. A. Mason may refer to the surveyor represented in BPL Map collection.",Southern Middlesex LC Document #4450 (Plan Bk/Pg: 104/269),1,,1,15 x 13,Brownline on Vellum,Frayed and torn edges.,"1 sheet, print, approx. 15 x 13 in.",,,,,,,,,,,,,,,,,,,
3,Massachusetts - Cambridge - Cohasset,Severy_Cambridge-003-A,"Cambridge, MA",Cambridge Gardens - Coffeys Lots,Survey,,Not Dated,,[Robert B. Bellamy],,Coffeys,,1 in = 20 ft,42.391180,-71.156813,Griswold Street; Loomis Street; Sunset Road (formerly Goldie),"Rough sketch of 7 lots, numbered 72 - 78. Handwritten notes.",See Cambridge-004. ,,1,,2,14 x 12,Kraft paper,Torn edges.,"1 sheet, 14 x 12, kraft paper",,,,,,,,,,,,,,,,,,,
3,Massachusetts - Cambridge - Cohasset,Severy_Cambridge-003-B,"Canton, MA","Sam F. Bright Land, Commercial Street, [?] Bridge, Revere Cup Company, Hartwell land",Survey,,Not Dated,,,,,,,,,,Rough sketches of lots.,"In 19th century Canton, Samuel F. Bright lived at 62 Chapman Street. Land in his estate transferred in 1920.",,1,,2,14 x 12,Kraft paper,Torn edges.,"1 sheet, 14 x 12, kraft paper",,,,,,,,,,,,,,,,,,,
3,Massachusetts - Cambridge - Cohasset,Severy_Cambridge-004,"Cambridge, MA",Cambridge Gardens,Survey,1941-06-26,6/26/1941,1941,[Robert B. Bellamy],,[L.D. Griswold Land Company],,1 in = 20 ft,42.391180,-71.156813,Griswold Street; Loomis Street; Sunset Road (formerly Goldie),Rough sketch with field notes.,Appears to be preliminary plan. Note indicates follow-up to survey done in 1930. See Cambridge-003.  See https://www.cambridgema.gov/-/media/Files/historicalcommission/pdf/chcmeetingfiles/d1575_memo.pdf  Area was marketed in 1916 by Griswold Land Company as Cambridge Highlands and Griswold started plans in 1917 for 200 hundred lots.  Few were built and many were consolidated. 1930 Bromley shows many lots assigned to a R.B. Bellamy.  Middlesex Registry contains similar surveys by Bellamy filed between 1930 and 1952.  Bellamy owned several lots in the development.,,1,,1,22 x 18,Manila paper,Backed,"1 sheet, 22 x 18",,,,,,,,,,,,,,,,,,,
3,Massachusetts - Cambridge - Cohasset,Severy_Cambridge-005,"Cambridge, MA",Plan of Lot in Cambridge Gardens,Survey,,Not Dated,,Robert B. Bellamy,,[L.D. Griswold Land Company],,1 in = 10 ft,42.393471,-71.155592,1 Loomis Street. Griswold Street; Loomis Street; Sunset Road,"Lot plan showing outline of ""location for house."" Notation says: ""This lot comprises lots 75, 76, and part of 77 on plan of Cambridge Gardens."" ",See Cambridge-001 and Cambridge-004. Possibly dated 1930; see note on later plan. 1930 Bromley Atlas shows that R. Bellamy owned lots in this area. May be portion of lot owned by Bellamy on Land Court Plan #14410A. See registry documents for connections to L.D. Griswold. ,Southern Middlesex LC Plan Case #14229; Plan Book/Page 220/57,1,,1,12 x 10,Brownline print,Backed. One corner torn off.,"1 sheet, print, 12 x 10",,,,,,,,,,,,,,,,,,,
3,Massachusetts - Cambridge - Cohasset,Severy_Cambridge-006,"Cambridge, MA","Plan of Lots in Cambridge, Mass",Survey,1941-06-30,6/30/1941,1941,Robert B. Bellamy,,[L.D. Griswold Land Company],,1 in = 20 ft,42.391180,-71.156813,Griswold Street; Loomis Street; Sunset Road,Plan shows 4 lots at intersection of Griswold & Loomis St.,,"Southern Middlesex LC Plan Book/Page  00329/301.  LC Plan Court Cases: 14229, 14410, 14710",1,,1,14 x 9,Canvas or vellum,,"1 sheet, canvas/vellum 14 x 9 in",,,,,,,,,,,,,,,,,,,
3,Massachusetts - Cambridge - Cohasset,Severy_Chelsea-001,"Chelsea, MA",Drawing showing relation of First Story Window Stools with Finish Walls and Floors. Chelsea - City Hall. Chelsea Mass. [113],Survey,1910-01-13,1/13/1910,1910,[Peabody & Stearns],,City of Chelsea,,3 in = 1 ft,42.393613,-71.033325,500 Broadway,Floorplan/architectural detail. Handwritten note says: Keep drawing for reference.,Peabody & Stearns were the architects commissioned in 1905 to design a new city hall at this location.,,1,,1,15 x 12.5,Trace or vellum,Frayed edges.,"1 sheet, approx. 15 x 12.5 in., trace/vellum",,,,,,,,,,,,,,,,,,,
3,Massachusetts - Cambridge - Cohasset,Severy_Chelsea-002,"Chelsea, MA; Everett, MA",Plan of Powder Horn Heights. Chelsea and Everett Mass. Property of L.D. Griswold Land Co.,Survey,1919-05-22,5/22/1919,1919,Robert B. Bellamy,,L.D. Griswold Land Company,,1 in = 40 ft,42.409808,-71.035498,Grandview Road; Dartmouth Street; Cook Avenue; Brook Street; Jefferson Avenue; Springvale Avenue.  Spans Chelsea/Everett Border,"1 of 2 copies.  Features 114 numbered lots which have been colored in red.  
Coordinates are shown for 9 Jefferson Avenue, Everett.",Part of Powder-Horn Heights development; see other Powder-Horn surveys in Bellamy collection. 1921 Everett Yeager Atlas shows that Griswold owned 10 lots near this intersection.,,1,,1,20 x 19,Blueprint,Backed,"1 sheet, blueprint, approx.20 x 19. Backed.",,,,,,,,,,,,,,,,,,,
