identifier,city_town,survey_title,date,auction_date,property_owner,neighbors,streets,notes,background_notes,related_registry_doc,surveyor,publisher,auctioneer,surveyor_no,scale,latitude,longitude,no_sheets,panels,sides,dimensions_in,form_genre,material,condition_notes
Perkins_2_6,"Somerville, MA",Plan of Estate in Somerville owned by Horace Record,1883-07-01,,"Record, Horace","Desseault; Gilman, P. S.",Broadway; Marshall Street,"Draft of plot plan showing two lots, one with sf and dimensions.  Includes building footprints and field notes. Verso is part of a poster of qualified Somerville Voters in Ward 4.",,,"Elliot, Charles Darwin",,,,1 in = 10 ft,42.39205342,-71.09305124,1,,1,20 x 14,Survey Plan,Ink and pencil on manila,
Perkins_2_7,"Somerville, MA",[Untitled - Lots on Elm and Porter Streets],1883-04-05,,,"Ireland, George W.",Elm Street; Porter Street,"Draft of plot plan showing two numbered lots, with sf and dimensions and field notes. Note says ""Changes in lotting made August 2, 1884 and new plan.  Lists other items. Verso is part of a poster of qualified Somerville Voters in Ward 4.  Features Elliot's engineering stamp.",,,"Elliot, Charles Darwin",,,,1 in = 10 ft,42.38653489,-71.11385012,1,,1,20 x 14,Survey Plan,Ink and pencil on manila,
Perkins_2_8,"Boston, MA; Somerville, MA",[Untitled - Plot plan for West End Street Railway Co.],1905-09-01,,West End Street Railway Co.,Boston & Maine Railroad,Arlington Avenue [Arlington Street]; George Street [Defunct]; Hamblen Street; Mystic River,Lot plan showing dimensions and orientation references; present line of ownership; 1890 pierhead and bulkhead line; 1895 line of extreme low water; Boston/Somerville town lines; location of flats. Reference to 1853 sale by Archibald Babcock to Eastern Railroad.,,Middlesex South Deed Bk/Pg 646/21,"Elliot, Charles Darwin",,,,1 in = 100 ft,42.387568,-71.075353,1,,1,13 x 9.5,Survey Plan,Ink on vellum,
Perkins_2_9,"Cambridge, MA",Map of the Cambridge Region,1905-01-01,,,,Towns of Arlington; Belmont; Burlington; Cambridge; Lexington; Medford; Somerville; Stoneham; Waltham; Watertown; Winchester,"Regional map showing town borders; bodies of water; major topographic features; roads.  Towns are bordered by a line composed of crosses. Indicates compiled by Elliott, C.E.",,,"Elliot, Charles Darwin",,,,1 in = 1 mile,42.420787,-71.178113,1,,1,15.5 x 13,Map,Ink on vellum,Buckling. Discoloration.
Perkins_2_10,"Somerville, MA",[Untitled - Lots on Chestnut and Poplar Streets],1876-11-17,,,"Cammera, Mrs.; Diggins, Michael; Monahan, Margaret",Chestnut Street; Poplar Street,"Preliminary plot plan showing 3 lots with dimensions, boundary lines, building footprints, and occupants. Lot is abutted by a passageway. Indicates from Elliot's office in Somerville Square.",,,"Elliot, Charles Darwin",,,,1 in = 10 ft,42.37785369,-71.08628259,1,,1,21.5 x 14,Survey Plan,Ink on trace,Discoloration.
Perkins_2_11,"Wilmington, MA; Woburn, MA",Woburn Park Building Lots in Woburn and Wilmington,1889-08-10,,,,Alpine Avenue; Avon Street; Breed Avenue; Cambria Avenue; Conway Avenue; Elm Square; Florence Avenue; Glen Avenue; Glen Square; Heath Avenue; Ingelow Avenue; Lehigh Avenue; Lenox Avenue; Leslie Avenue; Main Street; North Maple Street; Oak Square; Pine Avenue; Sharon Avenue; Spencer Avenue; Summit Avenue,"Subdivision plan showing 14 numbered blocks, each containing numbered lots.  Displays Wilmington and Woburn town line.",,,"Elliot, Charles Darwin",,,,1 in = 100 ft,42.519996,-71.158417,1,,1,16.5 x 13.4,Survey Plan,Ink on vellum,
Perkins_2_12,"Boston, MA; Medford, MA",[Untitled - Copy of map of Roads between Boston Mill Pond and Powder House},Not dated (Copied 1896-12-18),,,,Boston Mill Pond; Cambridge Bridge; Charlestown Bridge; Charlestown Mill Pond [Defunct]; Leachmores Point [Lechmere Point); Medford Turnpike [Mystic Avenue]; Milk Road [Defunct],"Copy of schematic map of roads between Boston ""Market"" and Powder House in Medford. Outlines body of water. Directional references to Cambridge Common and Medford River. Note indicates copied by Elliot from Miss Cutter's original, no title or date.",,,"Tufts, Peter, Jr. (Copied by Elliot, Charles Darwin)",,,,1 in = 80 rods (1320 ft),42.36925304,-71.07301859,1,,1,17 x 10.5,Map,Ink on vellum,Discoloration.
Perkins_2_13,"Cambridge, MA; Somerville, MA",[Untitled - Copy of plot of land],Not dated (Copied 1896-12-18),,,"Bigelow, Abraham; Fuller, Abraham; Sullivan","""Road to Cambridge"" [Massachusetts Avenue]; ""Road to Charlestown"";","Copy of lot plan showing boundary, dimensions;  reference points, abutters.  3 areas labelled as ""torn out.""  Note indicates from Miss Cutter's original. Note on verso: Philhimon R. Rufsell {Russell?} of John M. Rufsell [Russell?].",Philimon R. Russell resided at 23 Russell Street in Somerville in the 19th century.  Part of the Russell estate was acquired by Capt. Gilman Sargent (see Survey# Perkins_13_1). The house is listed on the National Historic Register.,,"Tufts, Peter, Jr. (Copied by E.F.E.)",,,,Not provided,42.39286296,-71.12222529,1,,1,9.5 x 8,Survey Plan,Ink on vellum,Discoloration.
Perkins_2_14,"Medford, MA",[Untitled - Sally Tufts lot],Not dated (Copied),,"Hall, Richard; Tufts, Sally",,,"Copy of lot plan showing 100 sf parcel with dimensions. Lot is labelled ""Sally Tufts - 1 acre"" and notes indicate ""Sally Tufts of Richard  Hall"" and that a date in pencil on back of this plan but near a plan of Daniel Tufts bought of a kettle lot in June 12, 1805."" ",,,"Tufts, Peter, Jr. (Copied by Clarke, Arthur)",,,,1 in = 60 ft,,,1,,1,12 x 10,Survey Plan,Ink on vellum,Buckling. Discoloration.
Perkins_2_15,"Somerville, MA",Copy of Plan of Land in Somerville belonging to Hannah Bennett and to the Heirs of Clark Bennett],1882-11-01 (Copied 1926-03-09),,"Bennett, Clark, heirs; Bennett, Hannah",,Bennett Street [Defunct]; Prospect Street,Copy of subdivision plan showing lots 7 thru 12 with dimensions and sf abutted by 40' wide street.,"Bennett Street no longer exists but abuts Bennett Court. Note indicates recorded in Middlesex South Registry of Deeds, Bk/Pl 54/42. ",,"Elliot, Charles Darwin (Copied by EaB)",,,,1 in = 20 ft,42.378069,-71.094737,1,,1,22 x 17,Survey Plan,Pencil on trace,Edge damage.
Perkins_2_16,"Somerville, MA",Copy of Plan of House Lots in Somerville belonging to M. Hittinger,1876-01-01 (1891-08-01),,"Hittinger, M.",,Brooks Street [Moreland Street]; Fremont Street [Tremont Street]; Meacham Street; Medford town line; Middlesex Canal [Defunct],"Subdivision plan showing 48 numbered lots divided into 4 rows with dimensions and sf. Decorative title block. Annotations indicate to be sold at Assignees Sale on June 24, 1876 by Arel Dearborn and John M. Swazey for the estate of George M. Rawson & M. Hittinger.  Copied from lithographic print.",,,"Curtis & Stevens, engineers (Copied by Elliot, Charles D.)","J. Mayer & Co., lithographer",,,1 in = 40 ft,42.39795115,-71.0970839,1,,1,18 x 26.5,Auctioneer Plan,Ink on linen or vellum,Buckling. Discoloration.
Perkins_2_17,"Somerville, MA",Plan of Building Lots in Somerville owned by Clark Bennett,1877-09-01,1882-05-31,"Bennett, Clark",,Chauncey Street [Fellsway West]; Derby Street; Jaques Street; Mystic Avenue; Wheatland Street; ,"Subdivision plan showing 72 numbered lots divided into 2 rows with dimensions and sf. Abuts public park and pond. Annotations to be sold by auction, May 31, 1882 at 3 o'clock on premises by Sullivan Bros. & Libbie, Auctioneers.  Penciled note indicates offset line compared to City Plan 343.",,,"Elliot, Charles Darwin",,Sullivan Brothers,,1 in = 50 ft,42.392467,-71.088036,1,,1,21.5 x 17.5,Auctioneer Plan,Print on bond,Discoloration. Edge damage. Tears.
Perkins_2_18,"Lynn, MA; Saugus, MA","Lynnhurst, Lynn, Mass. - Homes for Everybody.",1891-03-26,,,,Cleveland Avenue; Edison Avenue; Garfield Avenue; Harrison Avenue; Hayes Street; Jefferson Avenue; Newcomb Avenue; Sherman Street; Virginia Hill Road [Fairmount Avenue]; Walnut Street; Washington Avenue,"Subdivision plan showing 19 blocks comprising over 500 numbered lots with dimensions and sf. Plan sub-title reads ""Beautiful building lots on easy payments with interest and without taxes.  All improvements made free of cost. Streets graded, side walks made, shade trees planted."" Contains decorative title, inset map showing location relative to Lynn Center and railway to Boston via Saugus railroad line and streetcar icon at development entrance. Several blocks contain red lines which indicate sold lots.",Development straddles both Lynn and Saugus. Lynnhurst now is a designated neighborhood in Saugus.,,"Elliot, Charles Darwin","Walker, George D.",,,1 in = 100 ft,42.47423316,-70.99617542,1,,1,29 x 19,Auctioneer Plan,Print on bond,Discoloration. Creases. Edge damage.
Perkins_2_19,"Hyde Park (Boston, MA)",Plan of Building Lots at Sunnyside in Hyde Park belonging to H.D. Gilman,1873-05-15,,"Gilman, Henry D.",,Atherton Avenue [Alverado Avenue]; Brook Avenue [Defunct]; Mother Brook; River Road; St. Charles Street [Defunct]; St. James Street [Defunct]; St. Joseph Street [Defunct]; Sunnyside Avenue [Fairview Avenue];,Subdivision plan showing 10 blocks comprising 170 lots with selected dimensions and sf. Contains decorative title. Includes penciled checkmarks and annotations.,"Much of the development now is Fairview Cemetery. Per Norfolk Registry, plan may have been based on an original drawn by W. Mason.",Norfolk Plan Bk/Pg 5/180  (Plan #1870-180),"Elliot, Charles Darwin",,,,1 in = 100 ft,42.246522,-71.137125,1,,1,30 x 22.5,Survey Plan,Ink on bond,Discoloration. Edge damage (severe). Stains. Tears.
Perkins_2_20,"Somerville, MA","Estates of the late Benjamin Randall, Somerville",1871-03-30,,"Randall, Benjamin","Boston & Lowell Railroad; Randall, Ellen M.; Russell, David; Tufts, Charles; Wait, S.S.",Medford Street; Shawmut Street [McGrath Highway]; Washington Street,"Subdivision plan showing 4 numbered lots, outlined in red, with dimensions and sf. On adjoining lot shows house footprint. Note says ""This plan is same as No. 218. See Giroux env. Jan. 1901.""",Abutter Charles Tufts was founder of Tufts University.,,"Elliot, Charles Darwin; Mason, W.A.",,,,1 in = 20 ft,42.38082769,-71.0893292,1,,1,31 x 22.5,Survey Plan,Ink on bond,Crease. Discoloration. Edge damage. Tears.
Perkins_2_21,"Medford, MA",Plan of Estate in Medford belonging to Arthur W. Tufts,1891-04-11,,"Tufts, Arthur W.","Adams, George E.; Boston & Lowell Railroad; College Hill Station",College Avenue; Main Street; Massachusetts Pond [Defunct],Lot plan showing two lots with dimensions and sf and locations of drainage and right of way.,,,"Elliot, Charles Darwin",,,,1 in = 60 ft,42.40745964,-71.11596623,1,,1,23 x 20,Survey Plan,Ink on bond,Discoloration. Edge damage. Tear.
Perkins_2_22,"Cambridge, MA",Premises of D. H. Gore in Cambridgeport,1873-01-20 (Copied 1897-12-11),,"Gore, D. & H.","Cambridge Gas Light Co.; Cambridge Improvement Co.; Howe, estate of; Roberts, Orrin P.",Broad Canal [Broad Canal Way]; Potter Street; Third Street,"Lot plan showing dimensions and sf, including table of sf of various features, including wharves, docks, platforms, and other ""improvements."" Lot outline and certain dimensions outlined in red ink and shaded in blue; note indicates that this was sold to Cambridge Gas Light Co. on 01/01/1897 and that data in blue added May 15, 1875. Decorative title.",D. & H. Gore were listed in Cambridge city directories as paving contractors/suppliers.,,"Chase, J.G. (Copied by Elliot, Charles Darwin)",,,,1 in = 40 ft,42.364285,-71.083181,1,,1,29 x 18,Survey Plan,Ink on vellum,Buckling. Discoloration. Edge damage.
Perkins_2_23,"Malden, MA","Plan of Land in Maplewood, Malden owned by A. R. Lewis",1905-03-14,,"Lewis, A. R.",,"Ash Avenue [Roberts Street, partially defunct]; Broadway","Subdivision plan showing 23 numbered lots with dimensions and sf. Subtitle says: Being a redivision of Lots 3 to 14 (inclusive) 9 1/2 and 2b to 33 (inclusive) on plan recorded at Mdy. So. Dist. Reg. of Deeds, Book 80, Plan 19. Outlines taken from recorded plan and deed. See A.R. Lewis env. March 7, 1905. Calc. Bk b. p. 70.""",,,"Elliot, Charles Darwin",,,,1 in = 40 ft,42.43602183,-71.03770897,1,,1,23 x 18,Survey Plan,Ink on bond,
Perkins_2_24,"Charleston, SC","Plan of Charleston Harbor and its fortifications, compiled from Government Surveys",1861-01-01,,,,Ashley River; Charleston Harbor; Cooper River; Drum Island; Fort Moultrie; Hog Island; James Creek; James Island; Sullivan Island; Waproo Creek,"Map showing Charleston Harbor, its fortifications, city plan, select structures, railroads, and low water depths.  Indicates compiled from government surveys.",See LMEC version: https://collections.leventhalmap.org/search/commonwealth:kk91fs74m,,Elliot & Ames,"Andrews, C.D., lithographer",,,1 in = 31680,32.76981497,-79.89550115,1,,1,23.5 x 19,Map,Lithograph on bond,Creases. Discoloration. Edge damage. Holes. Tape marks. Tears.
Perkins_2_25,"Medford, MA",Plan of Land in West Medford. Survey for Lester H. Latham.,1900-10-23,,,,Brooks Street; Hammond Place; High Street,"Draft of subdivision plan showing 6 numbered lots and 4 ft. wide ""right of way"" with area and sf.  Subtitle re survey for Mr. Latham has been crossed out as has selected dimensions. References blueprint by F. H. Watts, surveyor, March, 1898.",,,"Elliot, Charles Darwin",,,,1 in = 30 ft,42.42164852,-71.13013188,1,,1,23 x 18,Survey Plan,Ink on manila,Discoloration. Edge damage.
Perkins_2_26_A_B,Not provided,[Untitled - Plans of roads at Mill Pond - Plan No. 1 and No. 3],1905-03-01,,,,Main Street; Walnut Street,"Two layouts for street intersection at Mill Pond.  Both show footprint of mill and location of stream and flume running between pond and mill and overflow area.  Dashed line indicates legal line of Main Street. Plan No. 1 shows Walnut Street bordered by trees and pond edge.  Plan No. 2 shows parkway bordered by wall, side walk, grass plat, and trees long side of pond.",Set does not contain Plan No. 2,,"Elliot, Charles Darwin",,,,1 in = 30 ft,,,2,,1,18 x 12,Street Plan,Ink on vellum,Buckling. Discoloration. Edge damage. Stains.
Perkins_2_27,"Somerville, MA",Plan of the Estate of Mrs. Sarah J. Cutler,1905-10-25,,"Cutler, Sarah J., estate","Fitch, Nathan A.; Sweat",Franklin Street; Mrytle Street; Pearl Street,Lot plan showing one lot with dimensions and sf and location of stone boundary markers and footprint of adjacent house. Compares boundary dimensions with plan in deeds.  Notations in black or red ink or in pencil.,,,"Elliot, Charles Darwin",,,,1 in = 20 ft,42.3845497,-71.08374679,1,,1,23 x 18.5,Survey Plan,Ink and pencil on bond,Discoloration.
Perkins_2_28,"Somerville, MA","Plan of Land in Somerville owned by Theophilus King, Trustee",1903-06-27,,"King, Theophius","Boston & Lowell Railroad; Donovan, Michael J.; Leonard, Hiram; Merrill, Gyles",42-44 Joy Street,"Lot plan showing two lots of wooden dwellings with dimensions and sf, divided by Leonard Place. Displays building outline and stoops and location of railroad fence and reference lines relative to stairwell and eaves. Includes notes on sources of plan. Drawn in black or red ink or in pencil.",,,"Elliot, Charles Darwin",,,,1 in = 10 ft,42.37926425,-71.08718116,1,,1,23 x 18,Survey Plan,Ink on manila,Discoloration.
Perkins_2_29,"Somerville, MA",Plan of Land in Somerville owned by Isaac H. Porter,1905-03-04,,"Porter, Isaac H.","Gray, Harvey D.M.; Stockwell, Frederick E., Jr.",College Avenue; Kidder Avenue,"Lot plan showing one lot with sf and dimensions and footprint of house. Drawing done in black and red ink but shows title information drafted in pencil. Contains miscellaneous calculation notes.  Includes notes on sources of plan. Subtitle indicates ""Being Lot 1 on plan recorded of Mdx. So. Dist. Registry of Deeds - Plan Book No. 61 Plan No. 39.",,,"Elliot, Charles Darwin",,,,1 in = 20 ft,42.39979469,-71.11983437,1,,1,23 x 18,Survey Plan,Ink and pencil on bond,Discoloration. Edge damage.
Perkins_2_30,"Somerville, MA",Copy of Plan of the Royal Farm,1796-01-08 (Copied 1896-12-18),,Royal family,,Main Street; Medford Bridge [Cradock Bridge]; Mystic Avenue: Mystic River,"Copy of lot plan showing multiple parcels with measurements, location of roads, ""Mistic River"", and buildings.  Decorative compass rose and scale block. Main Street is listed as ""road from Menotemy to Boston over Winter Hill.""",The lot was owned by colonial Royalist Isaac Royall and the house is now a historic site.,,"Tufts, Peter, Jr. (Copied by Elliot, Charles Darwin)",,,,1 in = 20 rods (330 ft),42.41219729,-71.11125341,1,,1,28 x 20,Survey Plan,Ink on vellum,Buckling. Discoloration. Edge damage.
Perkins_2_31,"Arlington, MA",Palmer Street [Arlington] for Acceptance,1901-02-14,,,"Bachelder, T.C.; Baxter, Langdon; Henderson, Francis R.; Perriger, Lizzie S.; Storer, William N.; Stowe, William E.; Trask, H.D.",Broadway; Palmer Street; Warren Street,"Plan and elevation showing street layout with lots, dimensions, building footprints, and reference lines. Elevation heights reference Arlington base. Drawing in black and red ink.  Includes notes on sources of plan.",,,"Elliot, Charles Darwin",,,,Horiz: 1 in = 40 ft; Vert: 1 in = 4 ft,42.413644,-71.146409,1,,1,23 x 18,Survey Plan,Ink on manila,Discoloration. Edge damage.
Perkins_2_32,"Arlington, MA","Copy of Part of Plan of Lands situated at Arlington Heights, Mass. Formerly owned by the Arlington Land Co.",1891-01-01 (Copied 1896-05-09),,Arlington Land Company,,Acton Street; Appleton Street; Arlington Avenue [Massachusetts Avenue]; Claremont Avenue; Cliff Street; Harvard Street; Hillside Avenue; Oakland Avenue; Park Avenue; Vine Street; Wachusett Avenue,"Subdivision plan showing multiple numbered blocks of numbered lots; blocks are grouped into areas A, B, C, E, K.  Some lots feature red inked cross. Symbols designate locations of selected houses, barns, other buildings, and fire alarm boxes.  Note indicates copied at Elliot's office from a blueprint.",See LMEC version: https://collections.leventhalmap.org/search/commonwealth:1257bb39n,,"Breck, Whitman T. (Copied by Elliot, Charles D.)",,,,1 in = 400,42.41948577,-71.18214927,1,,1,19 x 15,Survey Plan,Ink on vellum,Buckling. Discoloration.
Perkins_2_33,"Somerville, MA",Plan of Lots in Somerville owned by Daniel E. Chase,1876-12-27,,"Chase, Daniel E.","Carter, Franklin H.; Clark, Emily A.; Colby, Luther; Endicott, Bixbee; Estanbrook, Rufus; Fitchberg Railroad; Hamman, George; Harvard  Branch Railroad; Kann, George; Lee, James, Jr.; Lomax, G.H.; Mansfield, J.A.; Merrifield, J.A.; Wilson, G.M.J.; Wilson, Thomas H.; Thompson",Beacon Street; Hanson Street; Ivaloo Street; Mondamin Court; Park Street; Somerville Station [Defunct]; Village Street; Vine Street [Properzi Way],"Subdivision plan showing various lots spread over 4 blocks with dimensions, sf, and other measurements. Includes table of plan references and penciled notes. Street boundaries and some measurements in red ink.",Daniel E. Chase owned a large distillery of English rum at nearby Bleachery court as well as many parcels in this section of Somerville.,,"Elliot, Charles Darwin",,,,1 in = 40 ft,42.381263,-71.107345,1,,1,35 x 26,Survey Plan,Ink on linen or vellum,Discoloration. Edge damage. Stains.
Perkins_2_34,"Winchester, MA","Hillcrest, Winchester, Mass.",Not dated,,"Wyman, Arthur L.",Town of Winchester,Appalachian Road; Euclid Avenue; Highland Avenue; Hillcrest Avenue [Hillcrest Parkway]; Lakeview Road; Lafayette Road [Ainsworth Road]; Lakeview Road [Reservoir Street]; Pinewood Lake; The Fells Road,"Subdivision plan showing 13 blocks comprising over 200 number lots with dimensions and sf. Plan features lakes, tennis courts, a high-service reservoir, an observatory 350 feet above sea level, and new roads and ponds. A grid in red ink with sections numbered or lettered has been overlaid and referenced by a table of areas in acres.","Wyman had an office at 50 State Street, Boston.  The plan was never implemented.",,"Elliot, Charles Darwin","Walker, George D.",,,1 in = 160 ft,42.46037671,-71.12481379,1,,1,42.5 x 34,Survey Plan,Lithograph on linen,Buckling. Discoloration. Edge damage.
Perkins_2_35_A_B,"Charlestown (Boston, MA)","Roland Street. Plan and Profile showing laying out and established grade of Roland St., Charlestown, from Boundary line between Boston and Somerville to Boston and Main Railroad. Part 1 and Part 2.",1899-06-23,,,"Ayers, Harriet M.; Barrett, Caroline S.; Barrett, Harry H.; Boston & Maine Railroad; Bradley, Sarah A.W.; Crosby Steam Guage & Valve Company; Cutter, Frederick R.; Folsom, Alanson; Foote, Edward; Gulliver, Lemuel; Hyde, Alfred F.; Lancy, Benjamin; Murphy, Patrick; Phillips, Sarah A. W.; Puritan Brewing Company; Rodden, Daniel; Stearns, Harriet & Sarah; Stearns, James W., heirs; Stearns, William S.; Superior Fast Black and Chemical Co.; Wing, Simon",Carter Street; Crafts Street [Defunct]; Crescent Street; Roland Street,"Street layout showing plan and profile of Roland Street.  Is contained in two parts; Part 1 is western half, Part 2 is eastern half. Includes dimensions, Boston city base line, building footprints, and occupants names.  Building facades are shown on elevations with hatching.",Jackson had a lengthy tenure as the City of Boston's engineer and worked on the Charlestown Bridge design.,,"Jackson, William, city engineer",City of Boston,,,Not provided,42.38197013,-71.08000473,2,,1,40 x 26.5,Engineering Drawing,Blueprint,Edge damage. Stored in plastic sleeves.
Perkins_2_36,"Charlestown (Boston, MA)","Roland Street. Assessment Plan. Plan showing lots to be assessed under Acts of the Legislature, Chapter 323 of 1891 and amendments thereto.",1901-10-11,,,"Ayers, Harriet M.; Ayers, James F.; Barrett, Harry H.; Boston & Maine Railroad; Crosby Steam Guage & Valve Company; Cutter, Frederick R.; Folsom, Alanson; Foote, Edward, heirs; Gulliver, Lemuel; Hyde, Alfred F.; Lancy, Benjamin; Middleby, Joseph, Jr., heirs; Moldoon, Miles; Murphy, Patrick; Phillips, Sarah A. W.; Pettee, Amanda M. and Dean H.; Powers, Charles F., Florence C., and John H.; Puritan Brewing Company; Robinson, George H.; Stearns, Harriet & Sarah; Stearns, James W., heirs",Cambridge Street; Carter Street; Crafts Street [Defunct]; Crescent Street; Roland Street,Street layout showing lots along Roland Street with dimensions and reference points.  Lots are numbered. Shows boundary line between Boston and Somerville.,,,"Jackson, William, city engineer",City of Boston,,,1 in = 30 ft,42.38197013,-71.08000473,1,,1,40 x 26.5,Engineering Drawing,Blueprint,Edge damage. Stored in plastic sleeve.
