Identifier,Latitude,Longitude,Folder,Date,City/Town ,Property Owner ,Survey Title ,Streets ,Neighbors ,Notes,Background Notes ,Material Type,Surveyor 
Perkins_M_T1-50_bp,42.3923,-71.130123,T1 bp,1891-08-27,"Cambridge, MA","Wilson, J.F.; Flatley, Rev. John",,"Railroad St, Middlesex St","Jacob Remick, Martin Toye, E. P. Whitman","Blueprint, some red",,blueprint,Unknown
Perkins_M_T1-6,42.373035,-71.120231,T1,9999-01-01,"Cambridge, MA",,Brattle Square from section map City Hall,"Brattle St, Boylston St, Mount Auburn St",,,,,Unknown
Perkins_M_T1-7,42.368497,-71.096815,T1,1887-05-10,"Cambridge, MA","Dickinson, Alexander",,"Columbia St, Market St, Broadway",,,"b: 1817, soap & candle manufacturer, married Hope Kemp in 1839",,W.A. Mason & Son Co.
Perkins_M_T1-8,42.361509,-71.103441,T1,1885-05-22,"Cambridge, MA","Dana, S. A.",,"Brookline St, Pilgrim St, Pacific Ave","M. Egan, Jennings, W. Hast, McCaw",elaborate title block,,,W.A. Mason & Son Co.
Perkins_M_T10-11,42.354853,-71.133927,T10,1888-07-05,"Allston (Boston, MA)","Hollis, John W.",,,"Baldwin & Hollis, Zenas B. Bird,",nice title block,Allston cattle dealer,,W.A. Mason & Son Co.
Perkins_M_T10-2,42.368251,-71.098001,T10,1885-03-01,"Cambridge, MA","Close, George",,"Elm St, Broadway",George Close,,,,W.A. Mason & Son Co.
Perkins_M_T10-6,42.389376,-71.119426,T10,1884-12-01,"Cambridge, MA","Cutter, Asa",,"North Ave, Davenport St,","Walter Cutter, S. L. Cutter, JH Cutter, Dr. Lewis Putnam, Henry C. Rand","nice title block, shows homes",,,Unknown
Perkins_M_T10-8,42.377081,-71.137623,T10,1888-07-27,"Cambridge, MA","Gooch, N.G.",,"Fayerweather St, Brattle St",,nice title block,,,W.A. Mason & Son Co.
Perkins_M_T10-9,42.416574,-71.157761,T10,1888-07-02,"Arlington, MA","Hill, Henry Y.",,Arlington Ave,"Lewis P. Bartlett, J. M. Chase","nice title block, shows homes",,,W.A. Mason & Son Co.
Perkins_M_T100-1,42.376851,-71.158324,T100,1909-05-21,"Belmont, MA",Brooks; Conley,,"Grove St, Marion Rd, Belmont St",,,,,W.A. Mason & Son Co.
Perkins_M_T100-10_bp,42.392165,-71.125113,T100 bp,1909-04-10,"Cambridge, MA","Warwick, George W.",,"Pemberton St, Mass Ave, Massachusetts Ave, Warwick Park","George W. Warwick. Ruth P. Johnson, North Avenue Baptist Church, Ellen R. Stimpson",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T100-3,42.390466,-71.132505,T100,1909-05-23,"Cambridge, MA",Raymond Syndicate,,Sherman St,Howard A. Carson,,,,W.A. Mason & Son Co.
Perkins_M_T100-4,42.381515,-71.131968,T100,1909-03-27,"Cambridge, MA",,,"Sparks St, Huron Ave","Ann Foran, Curtis, B.L. Robinson, F.W. Tilton",,,,W.A. Mason & Son Co.
Perkins_M_T100-8A_bp,42.354358,-71.110082,T100 bp,1909-05-05,"Cambridge, MA",Norcross Brothers Co.,,"Charles River Rd, Brookline St","Edmund Reardon, B.F. Brown, Caroline C. Eastman",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T100-9A_bp,42.365536,-71.154134,T100 bp,1909-04-06,"Watertown, MA","Pond, F.A.",,"Clarendon St, Arlington St, Berkeley St","Chadbourne, Coolidge",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T100-9B_bp,42.36556,-71.153973,T100 bp,1909-04-06,"Watertown, MA","Pond, F.A.",,"Clarendon St, Arlington St, Berkeley St","Chadbourne, Coolidge",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T101-10_bp,42.370954,-71.081393,T101 bp,1909-05-26,"Cambridge, MA","Boston Safe Deposit, Trust Co.",,"Fourth St, Cambridge St","John A. Cunningham, Adelia B. Hartwell, Sacred Heart School Association",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T101-11_bp,42.368857,-71.083496,T101 bp,1909-05-25,"Cambridge, MA","Boston Safe Deposit, Trust Co.",,"Fifth St, Spring St, Vine St",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T101-12_bp,42.374303,-71.106847,T101 bp,1909-05-26,"Cambridge, MA",Heath Hughes,,"Cambridge St, Dana St","Elizabeth R. Buckingham, Albert S. Parsons, Cornelius and Nora Crowley, Annie Jenkins",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T101-2,42.365679,-71.154188,T101,1909-04-06,"Watertown, MA","Pond, F.A.",,"Arlington St, Berkeley St, Clarendon St","Chadbourne, Coolidge",,,,W.A. Mason & Son Co.
Perkins_M_T101-3,42.377374,-71.104047,T101,1909-05-24,"Somerville, MA","O'Connell, Bridget E.",,"Calvin St, Dimick St, Waldo St",,,,,W.A. Mason & Son Co.
Perkins_M_T101-4,42.400469,-71.13185,T101,1909-06-01,"Cambridge, MA",Circular Loom Co.,,"Clarendon Ave, Tannery St",,,,,W.A. Mason & Son Co.
Perkins_M_T101-5,42.370074,-71.109433,T101,1909-06-03,"Cambridge, MA",Colonial Trust,,"Centre St, Dana St, Harvard St",,,,,W.A. Mason & Son Co.
Perkins_M_T101-6,42.344565,-71.152262,T101,1908-07-01,"Brighton (Boston, MA)","Pond, F.A.",,"Chestnut Hill Ave, Wallingford Rd, Colonial Rd",Wallingtord Park,,,,W.A. Mason & Son Co.
Perkins_M_T101-7,42.360795,-71.088098,T101,1909-03-01,"Cambridge, MA",,Charles River Waterfront,"Esplanade, Charles River, Bradford St, Kendall St, Amherst St, Princeton Ave, Mass Ave, Massachusetts Ave, Harvard Bridge, Vassar St, Main St",,,,,W.A. Mason & Son Co.
Perkins_M_T102-1,42.287394,-71.074301,T102,1909-07-01,"Dorchester (Boston, MA)",,Plan of houselots in New Dorchester. Ward 24 Boston,"Torrey St, Wentworth St, Chipman St, Oakwood St",,,,,W.A. Mason & Son Co.
Perkins_M_T102-10_bp,42.306368,-70.886396,"T102, T103, T105, T108 bp",1909-06-01,"Hull, MA",,,"Nantasket Ave, Bacon Ave, Standish Ave, Bradford Ave",,"blueprint; shows Allerton Terrace, Allerton Station ",,blueprint,W.A. Mason & Son; Ernest W. Bowditch
Perkins_M_T102-11_bp,42.376994,-71.158286,"T102, T103, T105, T108 bp",1909-05-21,"Belmont, MA",Brooks; Conley,,"Belmont St, Grove St, Marion Rd",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T102-12_bp,42.364093,-71.090367,"T102, T103, T105, T108 bp",1909-07-01,"Cambridge, MA",Lever Brothers Co.,,"Harvard St, Hastings St, Munson St, Washington St,",Grand Junction Branch Boston & Albany Railroad,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T102-14_bp,42.356962,-71.103778,"T102, T103, T105, T108 bp",1909-06-01,"Cambridge, MA","John Reardon & Sons Co.; Reardon, Edmund",,"Waverly St, Talbot St, Reardon St, Albany St, Erie St Bell Court, Allston St","United States Column Co., Fort Washington Park",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T102-14,42.356962,-71.103778,T102,1909-06-01,"Cambridge, MA","John Reardon & Sons Co.; Reardon, Edmund",,"Waverly St, Talbot St, Reardon St, Albany St, Erie St Bell Court, Allston St","United States Column Co., Fort Washington Park",additions 3/1/12,,,W.A. Mason & Son Co.
Perkins_M_T102-15_bp,42.36227,-71.086779,"T102, T103, T105, T108 bp",1909-07-01,"Cambridge, MA",Cambridgeport Savings Bank,,"Carleton St, Amherst St, Deacon St",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T102-2,42.349676,-71.152804,T102,1909-07-15,"Brighton (Boston, MA)","Bennett, S.H.",,"Henshaw St, Market St",,,,,W.A. Mason & Son Co.
Perkins_M_T102-4,42.388552,-71.117254,T102,1909-06-01,"Somerville, MA","Spencer, Charles W.",,White St Place,"James W. Connor, Bernard J. McDermott, et. Al., Railroad Lewis, G.S. McDowell, J.A.S. Woodrow",,,,W.A. Mason & Son Co.
Perkins_M_T102-4_bp,42.388552,-71.117254,"T102, T103, T105, T108 bp",1909-06-01,"Somerville, MA","Spencer, Charles W.",,White St Place,"James W. Connor, Bernard J. McDermott, et. Al., Railroad Lewis, G.S. McDowell, J.A.S. Woodrow",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T102-8_bp,42.377315,-71.103988,"T102, T103, T105, T108 bp",1909-05-24,"Somerville, MA","O'Connell, Bridget E.",,"Calvin St, Dimick St, Waldo St",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T102-9_bp,42.379205,-71.120703,"T102, T103, T105, T108 bp",1909-06-12,"Cambridge, MA","Wilkins, George H.; Buffum, Robert E. ",,"Mass Ave, Massachusetts Ave, Chauncy St","George H. Wilkins. Elizabeth H. Moore, Francis Flint, Adelle L. Mellen, Thornton M. Ware",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T102-9_bp,42.379205,-71.120703,"T102, T103, T105, T108 bp",1909-06-12,"Cambridge, MA","Wilkins, George H.; Buffum, Robert E. ",,"Mass Ave, Massachusetts Ave, Chauncy St","George H. Wilkins. Elizabeth H. Moore, Francis Flint, Adelle L. Mellen, Thornton M. Ware",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T102-9,42.379205,-71.120703,T102,1922-07-11,"Cambridge, MA",,Plan of Premises,"Mass Ave, Massachusetts Ave, Chauncy St",,,,,W.A. Mason & Son Co.
Perkins_M_T102-9_bp,42.379205,-71.120703,"T102, T103, T105, T108 bp",1922-07-15,"Cambridge, MA",,Plan of Premises,"Mass Ave, Massachusetts Ave, Chauncy St",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T103-10_bp,42.312791,-71.113842,"T102, T103, T105, T108 bp",1909-08-01,"Cambridge, MA",,,"Centre St, Starr Lane",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T103-12_bp,42.392094,-71.125971,"T102, T103, T105, T108 bp",1906-06-12,"Cambridge, MA","Stimpson, Ellen R.",,"Pemberton St, Rindge Ave, Fairfield St","Julia A. Chase, Amos P. Whitney, Annie A. Facey, B.H. Steele, J.P. Bland, E.N. Yerxa, Francis & Julia A. Bryant, Cora M Crosby, John P. Glynn, Martha I. Pulling, H.R. Gover, North Ave. Baptist Church",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T103-4,42.365885,-71.107711,T103,1909-09-01,"Cambridge, MA","Hersum, E.L.; Farnham, B.; Brower, George S.",,"Franklin St, Soden St",George S. Brower. Caswell,,,,W.A. Mason & Son Co.
Perkins_M_T103-5,42.374358,-71.1395,T103,1909-07-31,"Cambridge, MA",Coolidge,,"Coolidge Ave, Mount Auburn St,",,,,,W.A. Mason & Son Co.
Perkins_M_T103-9_bp,42.357648,-71.111745,"T102, T103, T105, T108 bp",1909-08-26,"Cambridge, MA","Sortwell, Alvin F. ",,"Tufts St, Magazine St, Chestnut St","Esther E. McPherson, Ella J. Gould, ""Twenty Associates""",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T104-10,42.360019,-71.0865,T104,1909-03-01,"Cambridge, MA",,Charles River Water Front (easterly from Massachusetts Avenue),"Broadway, Kendall Sq, Main St, Esplanade, Charles River, Princeton Ave, Amherst St","W. & J.C. Fiske, Benjamin F. Brown, George B. Roberts, Edward Kendall, H.O. Bright, W.H. Wood, B. Tillon & W. Fiske, Harriet A. Porter, M.L. Smith",,,,W.A. Mason & Son Co.
Perkins_M_T104-10_bp,42.360019,-71.0865,T104 bp,1909-03-01,"Cambridge, MA",,Charles River Water Front (easterly from Massachusetts Avenue),"Broadway, Kendall Sq, Main St, Esplanade, Charles River Mass Ave, Massachusetts Ave , Princeton Ave, Amherst St",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T104-10_bp,42.360019,-71.0865,T104 bp,1909-07-31,"Cambridge, MA",Coolidge,,"Metropolitan Park, Coolidge Ave, Mount Auburn St",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T104-10,42.360019,-71.0865,T104,1909-09-15,"Cambridge, MA",Coolidge,,"Metropolitan Park, Coolidge Ave, Mount Auburn St",,,,,W.A. Mason & Son Co.
Perkins_M_T104-3,42.360137,-71.070991,T104,1909-10-08,"Boston, MA",,Rear of No. 146 Charles St.,"Charles St, Charles River Parkway","Parker, Shea",,,,W.A. Mason & Son Co.
Perkins_M_T105-10,42.373752,-71.119378,T105,1909-12-01,"Cambridge, MA",,Plan of Premises,"Brattle St, Harvard Sq",Lyceum Building,,,,W.A. Mason & Son Co.
Perkins_M_T105-11,42.364351,-71.113606,T105,1909-12-07,"Cambridge, MA","Little, C.C.",,"Putnam Ave (formerly Kent St) Ballord Ct, Western Ave, Montague St",,,,,W.A. Mason & Son Co.
Perkins_M_T105-12,42.370756,-71.106997,T105,1909-11-10,"Cambridge, MA","Leavitt, E.D. ",,"Chatham St, Hancock St",Grace M. Wadden,,,,W.A. Mason & Son Co.
Perkins_M_T105-13A,42.381515,-71.137719,T105,1909-10-25,"Cambridge, MA","Whouley, M.F.",,"Chilton St, Fayerweather St",,,,,W.A. Mason & Son Co.
Perkins_M_T105-14,42.390874,-71.123836,T105,9999-01-01,"Cambridge, MA","Malcolm, John L.",,"Walden St, Massachusetts Ave, Mass Ave",,,,,W.A. Mason & Son Co.
Perkins_M_T105-15_bp,42.377869,-71.124592,"T102, T103, T105, T108 bp",1909-12-07,"Cambridge, MA","Goodale, George Lincoln",,Berkeley St,"George Lincoln Goodale. John Allyn, Charles B. Tower, Walter Wesselhoeft, J. A. Rockwell",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T105-16,42.355904,-71.108564,T105,1920-01-01,"Cambridge, MA","Reardon, Edmund",,"Henry St, Chestnut St, Sidney St",,,,,W.A. Mason & Son Co.
Perkins_M_T105-2,42.393251,-71.131239,T105,1922-04-01,"Cambridge, MA",,Plan of Premises,"Rindge Ave, Sargent St, Middlesex St",handwritten notes,,,,W.A. Mason & Son Co.
Perkins_M_T105-2,42.393251,-71.131239,T105,1922-04-01,"Cambridge, MA",,Plan of Premises,"Rindge Ave, Sargent St, Middlesex St",,,,,W.A. Mason & Son Co.
Perkins_M_T105-2,42.393251,-71.131239,T105,1922-04-01,"Cambridge, MA",,Plan of Premises,"Rindge Ave, Sargent St, Middlesex St",,,,,W.A. Mason & Son Co.
Perkins_M_T105-3_bp,42.38707,-71.077015,"T102, T103, T105, T108 bp",1909-12-01,"Boston, MA; Somerville, MA",Raymond Syndicate,,Sherman St,Eastern Railroad,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T105-6_bp,42.393837,-71.132167,"T102, T103, T105, T108 bp",1909-10-25,"Cambridge, MA","Berger, Henry",,"Reed St, Rindge Ave","Helen Ryan, Mary Nelligan, Edwin R. Dix",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T105-6_bp,42.393837,-71.132167,"T102, T103, T105, T108 bp",1909-10-25,"Cambridge, MA","Berger, Henry",,"Reed St, Rindge Ave","Helen Ryan, Mary Nelligan, Edwin R. Dix",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T105-7_bp,42.383611,-71.08754,"T102, T103, T105, T108 bp",1909-12-01,"Somerville, MA","Welsh, Willard",,"Oliver St (formerly Broom St), Cross St","Albert H. Coles, Jane C. Collins, Bridget T. Connally, Lodicea H. Smith",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T105-8_bp,42.363586,-71.102014,"T102, T103, T105, T108 bp",1909-12-01,"Cambridge, MA","Harris, Sarah E.",,"Brookline St, Green St, Mass Ave, Massachusetts Ave","Sarah Colburn, Mary A. Southwick, Charles L. & Louis H. Phillips",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T106-1_bp,42.39589,-71.135536,T106 bp,1910-01-22,"Cambridge, MA","Callahan, Charles D.",,"Jackson St, Dudley St","William J.McGloughlin, M. Winslow Sands, Orrene Howle",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T106-11,42.372111,-71.103022,T106,1910-01-21,"Cambridge, MA","Montague, Charles H.; Montague, Annie S.",,"Antrim St, Fayett St",,,,,W.A. Mason & Son Co.
Perkins_M_T106-11,42.372111,-71.103022,T106,1910-01-21,"Cambridge, MA","Montague, Charles H.; Montague, Annie S.",,"Antrim St, Fayett St",,,,,W.A. Mason & Son Co.
Perkins_M_T106-12,42.38684,-71.129179,T106,1910-01-01,"Cambridge, MA",A.H. Hews & Co. Inc.,,"Sherman St, Walden St, Stearns St, Fenno St Upland Rd, Raymond St, Sheridan St, Wood St, Norcross St",,,,,W.A. Mason & Son Co.
Perkins_M_T106-13_bp,42.361596,-71.120349,T106 bp,1907-03-29,"Brighton (Boston, MA)","Griggs, W.J.",,"Western Ave,",Maria F. Whitten,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T106-13,42.361596,-71.120349,T106,1910-02-17,"Brighton (Boston, MA)",,Plan of Land,"Cambridge St, Charles River Park, Western Ave","Frost, Colly, Pratt, McKay, Malock, Griggs, Corey, Whitten, Brookline Gas. Co.",,,,W.A. Mason & Son Co.
Perkins_M_T106-5,42.368073,-71.157637,T106,1910-01-29,"Watertown, MA",,Plan of Premises,"Nichols Ave, Bigelow Ave",,,,,W.A. Mason & Son Co.
Perkins_M_T106-8,42.39234,-71.129377,T106,1909-12-01,"Cambridge, MA","Daly, Mary M.",,"Yerxa Rd, Rindge Ave",McLean,,,,W.A. Mason & Son Co.
Perkins_M_T107-1,42.374426,-71.105297,T107,1910-04-14,"Cambridge, MA","Doyle, Cath. A.",,"Camelia Ave, Cambridge St",,,,,W.A. Mason & Son Co.
Perkins_M_T107-10,42.368279,-71.15804,T107,1910-03-01,"Watertown, MA",,,"Nichols St, Elton Ave, Bigelow Ave","Conant,",,,,W.A. Mason & Son Co.
Perkins_M_T107-14,42.389503,-71.120548,T107,1910-01-01,"Cambridge, MA",Cambridge Masonic Hall Association,,"Mass Ave, Massachusetts Ave, Porter Rd,","Universalist Church, North Ave. Savings Bank",,,,W.A. Mason & Son Co.
Perkins_M_T107-15,42.389669,-71.12058,T107,1910-01-01,"Cambridge, MA",Cambridge Masonic Hall Association,,"Mass Ave, Massachusetts Ave, Porter Rd,","Universalist Church, North Ave. Savings Bank",rough sketch,,,W.A. Mason & Son Co.
Perkins_M_T107-17_bp,42.388528,-71.122452,T107 bp,1910-02-23,"Cambridge, MA","Niles, J. Harris; Hathaway, Charles F.",,"Richdale Ave, Cambridge Terrace, Upland Rd",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T107-18,42.388564,-71.122565,T107,1910-02-23,"Cambridge, MA","Niles, J. Harris; Hathaway, Charles F.",,"Richdale Ave, Cambridge Terrace, Upland Rd",,,,,W.A. Mason & Son Co.
Perkins_M_T107-19,42.3668,-71.10689,T107,1910-03-07,"Cambridge, MA",,,"Vernon St, Green St, Mass Ave, Massachusetts Ave",,,,,W.A. Mason & Son Co.
Perkins_M_T107-2,42.355951,-71.105897,T107,1910-02-21,"Cambridge, MA","Howe, Elias",,"Putnam Ave, Waverly St",,,,,W.A. Mason & Son Co.
Perkins_M_T107-20,42.389982,-71.122795,T107,1910-04-01,"Cambridge, MA",,,"Creighton St, Mass Ave, Massachusetts Ave",,,,,W.A. Mason & Son Co.
Perkins_M_T107-3,42.355761,-71.10549,T107,1910-02-22,"Cambridge, MA","Howe, Elias",,"Putnam Ave, Waverly St",,,,,W.A. Mason & Son Co.
Perkins_M_T107-4,42.355682,-71.105576,T107,1910-02-23,"Cambridge, MA","Howe, Elias",,"Putnam Ave, Waverly St",,,,,W.A. Mason & Son Co.
Perkins_M_T107-5,42.3677,-71.101992,T107,1910-02-25,"Cambridge, MA","Crowell, Charlotte A.",,"Prospect St, Harvard St",,,,,W.A. Mason & Son Co.
Perkins_M_T107-6,42.35768,-71.10329,T107,1910-03-01,"Cambridge, MA","Shepard, Otis",,"Erie St, Albany St, Waverly St",Ararat Grocery Co.,,,,W.A. Mason & Son Co.
Perkins_M_OS_T108-1,42.360383,-71.113493,OS T108,1910-05-20,"Cambridge, MA",,,"Putnam Ave, Pleasant St","Dover Stamping Co., Estate of James Otis",,,,W.A. Mason & Son Co.
Perkins_M_OS_T108-11,42.389662,-71.118525,OS T108,1874-06-13,"Cambridge, MA","Rand, Henry C. ",,"North Ave, Orchard St, Davenport St, Mass Ave, Massachusetts Ave, Elm St",sketch,,,,W.A. Mason & Son Co.
Perkins_M_T108-12_bp,42.304952,-71.216383,"T102, T103, T105, T108 bp",1910-05-01,"Needham, MA",Hood Park,,"Highland Ave, Riverside St, High St, Highland St","Hood Land Co. Agents, Charles J. Scheffreen owner",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_OS_T108-17,42.325598,-71.100088,OS T108,1910-04-01,"Boston, MA",,Plan of premises in Boston at Roxbury Crossing,"Heath St, Parker St, Bromley St",,,,,W.A. Mason & Son Co.
Perkins_M_OS_T108-3,42.365056,-71.100136,OS T108,1910-06-01,"Cambridge, MA","Grace, Thomas F.",,"Austin St, Douglass St, Riske Place","J. F. Kimball, Carter",,,,W.A. Mason & Son Co.
Perkins_M_OS_T108-5,42.39869,-71.132365,OS T108,1910-04-01,"Cambridge, MA","Clark, Henry",,"Mass Ave, Massachusetts Ave, Edmunds St","Clark Brothers, Griffin",,,,W.A. Mason & Son Co.
Perkins_M_OS_T108-8,42.372892,-71.093012,OS T108,1910-05-21,"Cambridge, MA","Brodie, Bertha",,"Cambridge St, Windsor St",,,,,W.A. Mason & Son Co.
Perkins_M_T109-1_bp,42.392023,-71.130112,T109 bp,1890-04-30,"Cambridge, MA","Wilson, J.F.",,"Middlesex St, Spruce St,","E.P. Whitman, Isaac McLean, Jacob Remick",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T109-10,42.368707,-71.080599,T109,1910-08-05,"Cambridge, MA","Adams, James",,"Third St, Spring St, Vine St",,,,,W.A. Mason & Son Co.
Perkins_M_T109-11,42.394333,-71.127366,T109,1910-09-01,"Cambridge, MA",Roman Catholic Archbishop of Boston,,"Hollis St, Mass Ave, Massachusetts Ave",,,,,W.A. Mason & Son Co.
Perkins_M_T109-13,42.392348,-71.129458,T109,1910-09-01,"Cambridge, MA",Roman Catholic Archbishop of Boston,,"Yerxa Rd, Rindge Ave, Van Norden St, Middlesex St",,,,,W.A. Mason & Son Co.
Perkins_M_T109-15,42.368481,-71.080663,T109,1910-08-05,"Cambridge, MA","Adams, James",,"Third St, Vine St, Spring St",,,,,W.A. Mason & Son Co.
Perkins_M_T109-16,42.371093,-71.097969,T109,1910-08-22,"Cambridge, MA","Walsh, Thomas J.; Walsh, James",,"Tremont St, Hampshire St, Norfolk St",,,,,W.A. Mason & Son Co.
Perkins_M_T109-19,42.365813,-71.091478,T109,1910-09-16,"Cambridge, MA",Cambridge Electric Light Railroad,,Hampshire St,,,,,W.A. Mason & Son Co.
Perkins_M_T109-20,42.37053,-71.151785,T109,1910-08-16,"Watertown, MA","Davenport, Alfred M.",,Grove St,,,,,W.A. Mason & Son Co.
Perkins_M_T109-20,42.37053,-71.151785,T109,1910-08-16,"Watertown, MA","Davenport, Alfred M.",,Grove St,sheet contents,,,,W.A. Mason & Son Co.
Perkins_M_T109-4,42.354481,-71.161258,T109,1910-06-01,"Brighton (Boston, MA)","Dix, Ervin R.",,"Donnybrook Rd, Hobson St",,,,,W.A. Mason & Son Co.
Perkins_M_T109-4_bp,42.354481,-71.161258,T109 bp,1910-06-01,"Brighton (Boston, MA)","Dix, Ervin R.",,"Donnybrook Rd, Hobson St",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T109-7,42.369281,-71.096714,T109,1910-07-02,"Somerville, MA","Betancourt, Manuel A.",,"Columbia St, Columbia Court",,,,,W.A. Mason & Son Co.
Perkins_M_T109-7_bp,42.369281,-71.096714,T109 bp,1910-07-02,"Somerville, MA","Betancourt, Manuel A.",,"Columbia St, Columbia Court",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T11-4,42.353902,-71.138529,T11,1885-04-21,"Allston (Boston, MA)","Hathaway, James A.",,"Beacon St, Mildam Rd, Everett St","McNamara, Dr. Whitney","nice title block, shows stable, mansion house,dwellings, sheds",,,W.A. Mason & Son Co.
Perkins_M_T11-5,42.404018,-71.165668,T11,1873-01-01,"Belmont, MA","Frost, Warren S.",,Brighton St,"Leonard Richardson, Thomas",nice title block,,,W.A. Mason & Son Co.
Perkins_M_T11-6,42.366202,-71.09121,T11,1886-01-20,"Cambridge, MA",Boston Woven Hose Co,,"Hampshire St, Portland St, Broadway",Page Box Co,"beautiful watercolored map showing the various buildings, what they were used for, drawings of coal shack and stable & sheds, boiler house, etc.",,,W.A. Mason & Son Co.
Perkins_M_T11-8,42.366146,-71.091194,T11,1885-05-01,"Cambridge, MA",Boston Woven Hose Co,,"Hampshire St, Portland St, Broadway","Gilmore & Eustis, Cambridge Rolling Mill, George G. Page Box Co, Broad Canal","elaborate title block and north arrow, shows and labels buildings, watercolored",,,W.A. Mason & Son Co.
