identifier,fw_group,city_town,survey_title,date,property_owner,neighbors,streets,notes,background_notes,related_registry_doc,surveyor,publisher,surveyor_no,fw_ref,scale,latitude,longitude,form_genre,no_sheets,pieces,sides,dimensions_in,material,condition_notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_924_2,Boylston Entrance,"Boston, MA",Plan No. 3,1882-08-15,City of Boston,Boston & Albany Railroad,Back Bay Park; Boylston Entrance; Boylston Street; Parker Street [Hemingway Street]; West Chester Park [Massachusetts Ave.],"Subdivision plan showing five blocks of lots divided by multiple street and passageways; includes cul-de-sac. Note contains calculations for street and passages ""which is 21 per cent of the whole."" Variant on Plan 923-857.",,,Fuller & Whitney,,924-862,,1 in = 80 ft,42.34701129,-71.0893,Survey Plan,1,,1,16 x 14.5,Blueprint,Edge damage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_924_3,Boylston Entrance,"Boston, MA",Plan No. 6,1882-09-22,City of Boston,Boston & Albany Railroad,Back Bay Park; Boylston Entrance; Boylston Street; Parker Street [Hemingway Street]; West Chester Park [Massachusetts Ave.],"Subdivision plan showing four blocks of lots divided by multiple street and passageways; includes ""court"". Note contains calculations for street and passages ""which is 13 per cent of the whole."" Illegible note in red pencil. Variant on Plan 923-857.",,,Fuller & Whitney,,924-863,,1 in = 80 ft,42.34701129,-71.0893,Survey Plan,1,,1,16 x 14.5,Blueprint,Edge damage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_926_2,,"Boston, MA",[Print of Mrs. Whitney's],1882-01-11,"Whitney, H. M. Trustees","Boston & Albany Railroad; Marcus, A. A.",Commonwealth Avenue; Newbury Street; West Chester Park [Massachusetts Ave.]; Trustees Park Entrance Lands,Lot plan showing layout of block with passageway.,Site is now extension of Newbury Street between Mass. Avenue and Charlesgate East. See Plan 929-784,,Fuller & Whitney,,926-865,,1 in = 100 ft,42.34840621,-71.0894,Survey Plan,1,,1,16 x 14.5,Blueprint,Damaged binding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_927_1,Belvedere / Falmouth Street,"Boston, MA",Plan No. 1,1882-09-02,,"Boston & Albany Railroad; Boston Water Power Co.; Exhibition Building; Gray, Wm; Moore;",Dalton Street; Falmouth Street [St. Stephen]; West Newton Street; Huntington Avenue.,"Subdivision plan showing 3 sets of lots divided by two 10-foot-wide passageways. Shows proposed 50-foot-wide street parallel to railroad. Note contains calculations for street and passages ""which is 20 per cent of the whole.""",,,Fuller & Whitney,,927-868,,1 in = 40 ft,42.34624449,-71.0838,Survey Plan,1,,1,16 x 14.5,Blueprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_927_2,Belvedere / Falmouth Street,"Boston, MA",Plan No. 3,1882-09-02,,"Boston & Albany Railroad; Boston Water Power Co.; Exhibition Building; Gray, Wm; Moore;",Dalton Street; Falmouth Street [St. Stephen]; Huntington Avenue; West Newton Street,"Subdivision plan showing 4 sets of lots divided by a street and two passageways. Note contains calculations for street and passages ""which is 15 per cent of the whole."" Variant on Drawing 927-868.",,,Fuller & Whitney,,927-869,,1 in = 40 ft,42.34624449,-71.0838,Survey Plan,1,,1,16 x 14.5,Blueprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_928_1,Belvedere / Falmouth Street,"Boston, MA",Plan No. 2,1882-09-02,,"Boston & Albany Railroad; Boston Water Power Co.; Exhibition Building; Gray, Wm; Moore;",Dalton Street; Falmouth Street [St. Stephen]; West Newton Street; Huntington Avenue.,"Subdivision plan showing 2 sets of lots divided by a court and passageway. Note contains calculations for street and passages ""which is 14 1/2 per cent of the whole."" Variant on Drawing 927-868.",,,Fuller & Whitney,,928-870-872,,1 in = 40 ft,42.34624449,-71.0838,Survey Plan,1,,1,16 x 14.5,Blueprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_928_2a,Belvedere / Falmouth Street,"Boston, MA",Plan No. 4,1882-09-23,,,,"Draft subdivision plan showing multiple lots with 35-foot-wide street and 2 passageways. Note says BWP Co. Note contains calculations for street and passages ""which is 11 1/2 per cent of the whole."" Variant on Drawing 927-868.",,,Fuller & Whitney,,928-873-A,,Scale not given,42.34624449,-71.0838,Survey Plan,1,,2,16 x 13,Pencil on manilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_928_2b,,"Milton, MA","Plan of the Estate of William P. Blanchard, Milton, Mass. Containing 15,000 square feet",Not applicable,"Blanchard, William P.",,,Draft of title block with indications of streets for both Milton and references to Bay Park Lands and Commonwealth Avenue,,,"Blanchard, A & S",,928-873-B,,1 in = 10 ft,,,Cover Sheet,,,2,16 x 13,Ink and pencil on manilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_929_2c,Marlborough St / West Chester Park,"Boston, MA","[Untitled - Beacon Street, Commonwealth Avenue, West Chester Park]",1881-11-19,,"Beacon St. Lands, Tr.; Boston Water Power Company.",Beacon Street; Commonwealth Avenue; West Chester Park [Massachusetts Ave.],"Lot plan showing layout of two blocks of lots, each with a passageway. Shows grade levels, penciled notes and lines. Note says: ""Street and passageways to be filled for Boston Water Power Company and Trustees of Beacon St. Lands. Side slopes one and one half to one.""",Site is now extension of Newbury Street between Mass. Avenue and Charlesgate East.,,Fuller & Whitney,,929-873-875,"39, 40",1 in = 60 ft,42.35019023,-71.0894,Survey Plan,1,,1,15.5 x 13.5,Blueprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_929_1,Marlborough St / West Chester Park,"Boston, MA",Plan No. 1,1880-04-07,,,Beacon Street; Commonwealth Avenue; West Chester Park [Massachusetts Ave.],"Lot plan showing layout of two blocks of lots, each with a passageway.",Site is now extension of Newbury Street between Mass. Avenue and Charlesgate East.,,Fuller & Whitney,,929-874,"39, 40",1 in = 60 ft,42.35019023,-71.0894,Survey Plan,1,,1,15.5 x 13.5,Blueprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_929_4,,"Boston, MA",[Untitled - Linwood Place],1882-09-19,,"Parker, David; Parker, David & Gustavius",Linwood Place; South Street,"Lot plan with table of contents listing footage for enclosed spaces, walls, and shed easements.",Authorship of plan unclear. Location is near what is now South & Essex Streets. See 1883 Bromley Atlas.,,None provided,,929-875-877,,1 in = 8 ft,42.35257,-71.0567,Survey Plan,1,,1,16 x 13.5,Blueprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_929_3a,,"Boston, MA","Reduced Copy of Part of Plan Recorded July 29, 1845",1845-07-29,"Allen, Stephen; Haven, Franklin.",,Lenox Street; Sawyer Street; Shawmut Avenue; Suffolk St.,"One of two variants of plan on same sheet showing subdivision of land covered in deed Allen to Haven. Plan redrawn by Fuller & Whitney, 720/ 1882. Shows lots no. 153 - 196. References Deed. Lib. 548 Fol. 169.",,,"Fuller, Stephen P.",,929-876-A,,1 in = 60 ft,42.33645341,-71.0817,Survey Plan,1,,1,16 x 13.5,Blueprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_929_3b,,"Boston, MA","Plan showing location of deed Allen to Haven July 29, 1847 with some of the old buildings and fences existing at present time.",1882-07-20,"Allen, Stephen; Haven, Franklin.","Braslow; ""Land of grantor""; factory, laundry.",Lenox Street; Sawyer Street; Shawmut Avenue; Suffolk St.,One of two variants of plan on same sheet showing subdivision of land covered in deed Allen to Haven. Shows lots no. 153 - 196 with some designated as sold or unsold in 1847. References Deed. Lib. 548 Fol. 169.,,,Fuller & Whitney,,929-876-B,,1 in = 60 ft,42.33645341,-71.0817,Survey Plan,,,,16 x 13.5,Blueprint,Edge damage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_960,,"Boston, MA","[Untitled - Avery Place, Mason Street]",1882-03-11,,,Avery Place; Mason Street (passageway to),Lot plan.,,,Fuller & Whitney,,960-973,,1 in = 8 ft,42.3536798,-71.0631,Survey Plan,1,,1,16.5 x 13.5,Blueprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_961,Beacon Entrance to Back Bay Park,"Boston, MA",[Beacon Entrance to Back Bay Park],1882-11-20,,,Beacon Street; Commonwealth Avenue; Marlborough Avenue; Newbury Street; Charles River; Beacon Entrance to Back Bay Park [Charlesgate],Subdivision plan for block between Beacon and Commonwealth and what is now Charlesgate Park featuring 12 numbered lots.,,,Fuller & Whitney,,961-974,,1 in = 80 ft,42.34953279,-71.0929,Survey Plan,1,,1,15.5 x 13.5,Blueprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_962,Beacon Entrance to Back Bay Park,"Boston, MA",[Beacon Entrance to Back Bay Park - Plan No. 1],1882-12-11,,,Beacon Street; Commonwealth Avenue; Marlborough Street; Newbury Street; West Chester Park [Massachusetts Avenue]; Charles River; Beacon Entrance to Back Bay Park [Charlesgate],"Subdivision plan showing 3 sets of lots divided by Marlborough Street and private alleyways. One section titled ""Plan No. 1"". Date is penciled in red. Notation at intersecti0n of West Chester Park (Mass Avenue) and Charles River says Proposed Bridge to Cambridge.",,,Fuller & Whitney,,962-975,,1 in = 100 ft,42.34953279,-71.0929,Survey Plan,1,,1,15.5 x 13,Blueprint,Damaged binding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_963,Beacon Entrance to Back Bay Park,"Boston, MA",[Beacon Entrance to Back Bay Park - Plan No. 2],1882-12-11,,,Beacon Street; Commonwealth Avenue; Marlborough Street; Newbury Street; West Chester Park [Massachusetts Avenue]; Charles River; Beacon Entrance to Back Bay Park [Charlesgate],"Subdivision plan showing 3 sets of lots divided by Marlborough Street and private alleyways. One section titled ""Plan No. 2"". Date is penciled in red. Notation at intersection of West Chester Park (Mass Avenue) and Charles River says Proposed Bridge to Cambridge.",,,Fuller & Whitney,,963-976,,1 in = 100 ft,42.34953279,-71.0929,Survey Plan,1,,1,15.5 x 13.5,Blueprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_964,Beacon Entrance to Back Bay Park,"Boston, MA",[Beacon Entrance to Back Bay Park - Plan No. 3],1882-12-11,,,Beacon Street; Commonwealth Avenue; Marlborough Street; Newbury Street; West Chester Park [Massachusetts Avenue]; Charles River; Beacon Entrance to Back Bay Park [Charlesgate],"Subdivision plan showing 3 sets of lots divided by Marlborough Street and private alleyways. One section titled ""Plan No. 3"". Date is penciled in red. Notation at intersection of West Chester Park (Mass Avenue) and Charles River says Proposed Bridge to Cambridge.",,,Fuller & Whitney,,964-977,,1 in = 100 ft,42.34953279,-71.0929,Survey Plan,1,,1,15.5 x 13.5,Blueprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_965,Huntington Street Lands,"Boston, MA",[Huntington Avenue - Plan. No. 1],1882-12-15,,"Boston & Albany Railroad, Boston & Providence Railroad, Exhibition Building, Hotel Huntington, Hotel Oxford, Institute of Fine Arts,",Buckingham Street; Dartmouth Square; Exeter Street; Garrison Street; Harcourt Street; Harwich Street [Yarmouth Square]; Holyoke Street; Huntington Avenue; St. James Avenue; St. Botolph Street; Truro Street [Yarmouth Place]; West Canton Street; Yarmouth Street,"Subdivision plan showing over 9 sets of lots divided by streets and railroads. One section titled ""Plan No.1"". Notation: Waste in streets and pass 2.3 per cent.",,,Fuller & Whitney,,965-978,,1 in = 100 ft,42.34628288,-71.0777,Survey Plan,1,,1,15.5 x 14,Blueprint,Sheet is backed on linen or other textile.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_966,Huntington Street Lands,"Boston, MA",[Huntington Avenue - Plan. No. 2],1882-12-15,,"Boston & Albany Railroad, Boston & Providence Railroad, Exhibition Building, Hotel Huntington, Hotel Oxford, Institute of Fine Arts,",Buckingham Street; Dartmouth Square; Exeter Street; Garrison Street; Harcourt Street; Harwich Street [Yarmouth Square]; Holyoke Street; Huntington Avenue; St. James Avenue; St. Botolph Street; Truro Street [Yarmouth Place]; West Canton Street; Yarmouth Street,"Subdivision plan showing over 9 sets of lots divided by streets and railroads. One section titled ""Plan No.2"". Notation: Waste in streets and pass 2.3 per cent.",,,Fuller & Whitney,,966-979,,1 in = 100 ft,42.34628288,-71.0777,Survey Plan,1,,1,15.5 x 14,Blueprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_967,Huntington Street Lands,"Boston, MA",[Huntington Avenue - Plan. No. 3],1882-12-15,,"Boston & Albany Railroad, Boston & Providence Railroad, Exhibition Building, Hotel Huntington, Hotel Oxford, Institute of Fine Arts,",Buckingham Street; Dartmouth Square; Exeter Street; Garrison Street; Harcourt Street; Harwich Street [Yarmouth Square]; Holyoke Street; Huntington Avenue; St. James Avenue; St. Botolph Street; Truro Street [Yarmouth Place]; West Canton Street; Yarmouth Street,"Subdivision plan showing over 8 sets of lots divided by streets and railroads. One section titled ""Plan No.3"". Notation: Waste in streets and pass 32 per cent.",,,Fuller & Whitney,,967-980,,1 in = 100 ft,42.34628288,-71.0777,Survey Plan,1,,1,15.5 x 14,Blueprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_968,Huntington Street Lands,"Boston, MA",[Huntington Avenue - Plan. No. 4],1882-12-15,,"Boston & Albany Railroad, Boston & Providence Railroad, Exhibition Building, Hotel Huntington, Hotel Oxford, Institute of Fine Arts,",Buckingham Street; Dartmouth Square; Exeter Street; Garrison Street; Harcourt Street; Harwich Street [Yarmouth Square]; Holyoke Street; Huntington Avenue; St. James Avenue; St. Botolph Street; Truro Street [Yarmouth Place]; West Canton Street; Yarmouth Street,"Subdivision plan showing over 10 sets of lots divided by streets and railroads. One section titled ""Plan No.4"". Notation: Waste in streets and pass 20 per cent.",,,Fuller & Whitney,,968-981,,1 in = 100 ft,42.34628288,-71.0777,Survey Plan,1,,1,16 x 13.5,Blueprint,Damaged binding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_969,Ivory Bean Lots,"Boston, MA",Plan of House Lots belonging to Ivory Bean,1882-12-29,"Bean, Ivory",Boston & Providence Railroad,Berwick Park; Carlton Street; Follen Street; St. Botolph Street; West Newton Street,Subdivision plan showings one block of lots numbered 1 through 27. Another block numbered 230 -250. First section included 18 lots that are reserved. Includes 12-foot-wide passageway.,See 975-988 for similar nearby development with lots belonging to Bean.,,Fuller & Whitney,,969-982,610,1 in = 30 ft,42.34457911,-71.0799,Survey Plan,1,,1,14 X 16,Blueprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_970,,"Boston, MA",[Washington Street Lot],1883-01-20,,,Washington Street,"Lot plan showing single lot with dimensions, notes re wall thickness",No information provided on location within Washington Street.,,"Fuller & Whitney / Fuller, J. Franklin",,970-983,,1 in = 10 ft,,,Survey Plan,1,,1,10.5 x 15,Blueprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
