latitude,longitude,identifier,city_town,date,auction_date,survey_title,call_number,surveyor,auctioneer,property_owner,publisher,notes,link
42.340592,-71.051489,01_0024,"Boston, MA",1836-01-01,1856-10-15,Plan of Lands in South Boston to be sold by Public Auction by order of the administrators of the late Dr. John C. Warren,Map 81.3.1871.3,Alexander Wadsworth,N.A. Thompson & Co.,Dr. John C. Warren,,1 map in mylar,
42.335503,-71.049285,01_0025,"Boston, MA",1836-01-01,1856-10-15,Plan of Lands in South Boston to be sold by Public Auction by order of the administrators of the late Dr. John C. Warren,Map 81.3.1871.3,Alexander Wadsworth,N.A. Thompson & Co.,Dr. John C. Warren,,1 map in mylar,
42.336404,-71.041595,01_0026,"Boston, MA",1836-01-01,1856-10-15,Plan of Lands in South Boston to be sold by Public Auction by order of the administrators of the late Dr. John C. Warren,Map 81.3.1871.3,Alexander Wadsworth,N.A. Thompson & Co.,Dr. John C. Warren,,1 map in mylar,
42.357184,-71.054604,01_0027,"Boston, MA",1871-01-01,1871-04-12,Plan of Estate No. 12 Oliver Street,Map 81.3.1871.3,,Samuel Hatch & Co.,Aaron Bancroft,,,
42.33565,-71.035418,01_0028,"Boston, MA",1855-01-01,,"Plan of the Lots on City Lands, S. Boston",Map 81.3.1871.3,,,,,,
42.334802,-71.033308,01_0030,"Boston, MA",1860-01-01,1860-04-04,Plan of Land at South Boston belonging to the Estate of the late Wm. McCullough,Map 81.3.1871.3,Henry W. Wilson,Samuel Hatch & Co.,Wm. McCullough,,,
42.354963,-71.059758,01_0031,"Boston, MA",1859-01-01,1859-05-09,"Plan of the Mercantile Building Estate on Summer Street, belonging to Emery B. Fay Esq.",Map 81.3.1871.3,Alexander Wadsworth,N.A. Thompson & Co.,,,,
42.333032,-71.041466,01_0033,"Boston, MA",1835-01-01,1835-06-01,Plan of Land at South Boston belonging to the Mount Washington & Warren Associations,Map 81.3.1871.3,Alexander Wadsworth,,,,,
42.335503,-71.049285,01_0034,"Boston, MA",1835-01-01,,Plan of Land at South Boston belonging to the Warren Association,Map 81.3.1871.3,Alexander Wadsworth,,,,,
42.33325,-71.029146,01_0036,"Boston, MA",1842-01-01,1867-09-19,[No title],Map 81.3.1871.3,Alexander Wadsworth,J.K. Porter & Co.,,,only one map,
42.335824,-71.025056,01_0037,"Boston, MA",1842-01-01,1867-09-19,[No title],Map 81.3.1871.3,Alexander Wadsworth,J.K. Porter & Co.,,,only one map,
42.358782,-71.057827,01_0038,"Boston, MA",1865-01-01,1866-03-15,Plan of the Brooks Estate Corner of Court & Washington Street,Map 81.3.1871.3,Alexander Wadsworth,N.A. Thompson & Co.,Brooks Estate,,,
42.357171,-71.065057,01_0039,"Boston, MA",1866-01-01,1866-02-12,[No title],Map 81.3.1871.3,Alexander Wadsworth,Henshaw & Bro.,,,,
42.365673,-71.051609,01_0040,"Boston, MA",1876-01-01,1876-05-01,[No title],Map 81.3.1876,Thos. W. Davis,,,,,
42.335494,-71.044236,01_0041,"Boston, MA",1833-01-01,,Plan of T.H. Birds Land at South Boston,Map 81.3.1871.3,Alexander Wadsworth,,T.H. Birds,,,
42.334874,-71.029195,01_0042,"Boston, MA",1842-01-01,,No. 1 Plan of Land at South Boston Belonging to the United States,Map 81.3.1871.3,Alexander Wadsworth,,,,,
42.334022,-71.031256,01_0043,"Boston, MA",1862-01-01,1862-04-30,Plan of Lots of Land in South Boston,Map 81.3.1871.3,,N.A. Thompson & Co.,,,,
42.360802,-71.053688,01_0044,"Boston, MA",1856-01-01,1856-04-12,Plan of Mercantile Wharf Property in Boston Mass.,Map 81.3.1871.3,,N.A. Thompson & Co.,,,,
42.335552,-71.041546,01_0045-1,"Boston, MA",,,Plan of Land in Boston Belonging to Mrs. A.P. Grant,Map 81.3.1871.3,,N.A. Thompson & Co.,A.P.Grant,,only one map,
42.338812,-71.050806,01_0045-2,"Boston, MA",,,Plan of Land in Boston Belonging to Mrs. A.P. Grant,Map 81.3.1871.3,,N.A. Thompson & Co.,A.P.Grant,,only one map,
42.335503,-71.049285,01_0045-3,"Boston, MA",,,Plan of Land in Boston Belonging to Mrs. A.P. Grant,Map 81.3.1871.3,,N.A. Thompson & Co.,A.P.Grant,,only one map,
42.358251,-71.061507,01_0046,"Boston, MA",1851-01-01,1851-06-19,Plan of Estates on Beacon St. Somerset St. & Pemberton Square,Map 81.3.1871.3,Whitwell & Henck,Whitwells & Seaver,,,,
42.357921,-71.062689,01_0047,"Boston, MA",1843-01-01,1843-10-19,"To Be Sold At Auction, Thursday, October 19, 1843",Map 81.3.1871.3,Alexander Wadsworth,,,,,
42.351639,-71.069017,01_0048-1,"Boston, MA",1852-01-01,1852-06-10,A Plan of 8 Lots of City Land,Map 81.3.1871.3,,,,,only one map,
42.255439,-71.114781,01_0048-2,"Boston, MA",1852-01-01,1852-06-10,A Plan of 8 Lots of City Land,Map 81.3.1871.3,,,,,only one map,
42.335052,-71.078835,01_0050,"Boston, MA",1846-01-01,1846-05-20,"Plan of lands on the corner of Washington and Lenox Streets, Boston",Map 81.3.1871.3,Alexander Wadsworth,N.A. Thompson & Co.,,,,
42.366003,-71.100767,01_0051,"Boston, MA",1852-01-01,1852-05-05,Plan of land belonging to Jonas ChickeringEsq.,Map 81.3.1871.3,Alexander Wadsworth,N.A. Thompson & Co.,,,,
42.355383,-71.057367,01_0052,"Boston, MA",1857-01-01,,"Plan of extention of devonshire street, through Otis Place",Map 81.3.1871.3,L.H. Bradford & Co.,,,,,
42.355383,-71.057367,01_0053,"Boston, MA",1857-01-01,,Plan of extentoion of Devonshire Street connecting Otis & Winthrop Places,Map 81.3.1871.3,Tappan & Bradford,,,,,
42.352363,-71.064575,01_0054,"Boston, MA",1849-01-01,,Untitled [Line between the Boston and Roxbury Mill Corporation and the City of Boston],Map 81.3.1871.3,Tappan & Bradford,,,,01_0054 to 01_0057 one map in mylar,
42.354812,-71.074826,01_0055,"Boston, MA",1849-01-01,,Untitled [Line between the Boston and Roxbury Mill Corporation and the City of Boston],Map 81.3.1871.3,Tappan & Bradford,,,,01_0054 to 01_0057 one map in mylar,
42.342813,-71.073768,01_0056,"Boston, MA",1849-01-01,,Untitled [Line between the Boston and Roxbury Mill Corporation and the City of Boston],Map 81.3.1871.3,Tappan & Bradford,,,,01_0054 to 01_0057 one map in mylar,
42.35363,-71.079116,01_0057,"Boston, MA",1849-01-01,,Untitled [Line between the Boston and Roxbury Mill Corporation and the City of Boston],Map 81.3.1871.3,Tappan & Bradford,,,,01_0054 to 01_0057 one map in mylar,
42.355423,-71.056529,01_0058,"Boston, MA",1858-01-01,1859-05-11,Plan of Estate on Sister Street,Map 81.3.1871.3,Meisel & Co.,N.A. Thompson & Co.,,,,
42.361181,-71.063737,01_0059,"Boston, MA",1855-01-01,1855-06-19,Plan of the Prince Estate in Chamber Street Boston,Map 81.3.1871.3,,Samuel Hatch & Co.,Prince Estate,,,
42.3421,-71.070628,01_0060,"Boston, MA",1856-01-01,1856-05-17,"Plan of House Lots on the corner of Shawmut Avenue and Chelsea Street near Union Park, belonging to Charles E. Bowers",Map 81.3.1871.3,Kramer & Co.,N.A. Thompson & Co.,,,,
42.354094,-71.058607,01_0061,"Boston, MA",1849-01-01,1865-10-18,"Plan of the Mansion House Estate, of the late Hon. Edward Everett, on Summer Street",Map 81.3.1871.3 No. 79,Ezra Lincoln Jr.,N.A. Thompson & Co.,Hon. Edward Everett,,,
42.358782,-71.057827,01_0062,"Boston, MA",1865-01-01,1866-03-15,Plan of the Brooks Estate Corner of Court & Washington Street,Map 81.3.1871.3 No. 78,Alexander Wadsworth,N.A. Thompson & Co.,Brooks Estate,,,
42.302347,-71.012299,01_0063,"Boston, MA",1851-01-01,1851-07-21,"Plan of Building Lots in Section No. 1, at Long-Island in Boston Harbor, Owned by the Long-Island Company",Map 81.3.1871.3 No. 77,C.H. Poole,"N. A. Thompson, F.E. White",,,,
42.353603,-71.060186,01_0064,"Boston, MA",1866-01-01,1869-02-10,Plan of the Lee Estate on Chauncy Street,Map 81.3.1871.3 No. 76,Alexander Wadsworth,N.A. Thompson & Co.,Henry Lee,,,
42.353603,-71.060186,01_0066,"Boston, MA",1869-01-01,1869-02-10,"Plan of Land at the Corner of Chauncy Street and Avon Place, belonging to the City of Boston",Map 81.3.1871.3 No. 74,Thos. W. Davis,N.A. Thompson & Co.,,,,
42.347341,-71.064397,01_0068,"Boston, MA",1845-01-01,1845-06-04,"Corrected Plan of Lots, on Washington St. and Indiana Place, being the property of the Boston & Worcester Rail Road Corporation",Map 81.3.1871.3 No. 72,,F.E. White,,,,
42.358251,-71.061507,01_0069,"Boston, MA",1846-01-01,,[No title],Map 81.3.1871.3 No. 71,Alexander Wadsworth,,,,,
42.356761,-71.056217,01_0070,"Boston, MA",1842-01-01,,[No title],Map 81.3.1871.3 No. 70,Waldo Higginson,,,,,
42.35006,-71.065196,01_0072,"Boston, MA",1864-01-01,1866-03-16,"Plan of Estate No. 271, 273 & 275 Tremont Street, belonging to Mrs. Mary Flagg",Map 81.3.1871.3 No. 81,J.F. Fuller,N.A. Thompson & Co.,Mrs. Mary Flagg,,,
42.353692,-71.058019,01_0073,"Boston, MA",1866-01-01,1866-04-26,"Plan of Estates on Summer Street belonging to Heirs of Alexander Young, W.M. Davis, Jacob H. Loud and others, trustees.",Map 81.3.1871.3 No. 82,Alexander Wadsworth,N.A. Thompson & Co.,"Alexander Young, W.M. Davis, Jacob H. Loud",,,
42.3533,-71.057858,01_0075,"Boston, MA",1868-01-01,1868-04-09,[No title],Map 81.3.1871.3 No. 84,Alexander Wadsworth,Samuel Hatch & Co.,,,,
42.353744,-71.059973,01_0076,"Boston, MA",1868-01-01,1870-02-01,[No title],Map 81.3.1871.3 No. 85,Alexander Wadsworth,Samuel Hatch & Co.,Thomas Brewer Esq.,,,
42.353603,-71.060186,01_0077,"Boston, MA",1868-01-01,1868-04-09,[No title],Map 81.3.1871.3 No. 86,,Samuel Hatch & Co.,,,,
42.353603,-71.060186,01_0080,"Boston, MA",1856-01-01,1856-12-22,Plan of the estate of the late Judge Jackson in Chauncy Street,Map 81.3.1871.3 No. 89,Alexander Wadsworth,N.A. Thompson & Co.,Judge Jackson,,,
42.363887,-71.060286,01_0082,"Boston, MA",1846-01-01,1846-04-29,"Plan of Lands, belonging to the City of Boston",Map 81.3.1871.3 No. 98,Alexander Wadsworth,N.A. Thompson & Co.,,,,
42.35673,-71.056698,01_0083,"Boston, MA",1860-01-01,1860-11-08,"Plan of Land occupied by Stores Nos. 7&9, 11&13 Federal & Nos. 59&61 Milk Streets.",Map 81.3.1871.3 No. 97,Alexander Wadsworth,N.A. Thompson & Co.,,,,
42.355213,-71.053986,01_0084,"Boston, MA",1851-01-01,1857-04-22,[No title],Map 81.3.1871.3 No. 96,Alexander Wadsworth,F.E. White,,,,
42.35648,-71.059391,01_0085,"Boston, MA",1856-01-01,1859-01-04,Plan of the Melodeon Estate on Washington Street belonging to the Proprietors of the Boston Theatre,Map 81.3.1871.3 No. 95,Alexander Wadsworth,N.A. Thompson & Co.,,,,
42.361253,-71.064419,01_0086,"Boston, MA",1847-01-01,1847-05-08,Plan of Lots,Map 81.3.1871.3 No. 94,Alexander Wadsworth,,,,,
42.354297,-71.061585,01_0088,"Boston, MA",1857-01-01,1870-02-01,[No title],Map 81.3.1871.3 No. 92,Alexander Wadsworth,Samuel Hatch & Co.,,,,
42.358782,-71.057827,01_0089,"Boston, MA",1849-01-01,,Plan of Estate of P.C. Brooks (deceased) corner of Court and Washington Streets,Map 81.3.1871.3 No. 91,Ezra Lincoln Jr.,,P.C. Brooks,,,
42.358782,-71.057827,01_0090,"Boston, MA",1849-01-01,,[No title],Map 81.3.1871.3 No. 90,,,,,,
42.356633,-71.050707,01_0091,"Boston, MA",1860-01-01,1860-11-14,Plan of the Property known as Foster's Wharf,Map 81.3.1871.3 No. 27,Thomas Doane & John Doane Jr.,N.A. Thompson & Co.,,,,
42.356864,-71.055628,01_0092,"Boston, MA",1850-01-01,1850-10-24,"Plan of Pearl St House and Stores and three new stores on Milk and Atkinson Streets, Belonging to the Estate of the late Doct. E.H. Robbins",Map 81.3.1871.3 No. 29,Alexander Wadsworth,F.E. White,Doct. E.H. Robbins Estate,,,
42.35441,-71.059107,01_0093,"Boston, MA",1842-01-01,,Plan of the Estate of the late Benjamin Bussey Esq.,Map 81.3.1871.3 No. 25,Ezra Lincoln Jr.,,Benjamin Bussey Esq.,,,
42.360914,-71.052809,01_0094,"Boston, MA",1852-01-01,1852-11-03,"Plan of City Wharf in Boston, Mass. Showing five lots of land thereon.",Map 81.3.1871.3 No. 26,E.S. Chesborough,N.A. Thompson & Co.,,,,
42.363064,-71.054049,01_0095,"Boston, MA",1859-01-01,,"North Street from near Cross Street, to Commercial, Showing Proposed Widening to 50 feet.",Map 81.3.1871.3 No. 28,James Slade,,,,,
42.36495,-71.051828,01_0096,"Boston, MA",1859-01-01,,"North Street from near Cross Street, to Commercial, Showing Proposed Widening to 50 feet.",Map 81.3.1871.3 No. 28,James Slade,,,,,
42.3652,-71.061806,01_0097,"Boston, MA",1840-01-01,,Plan of Land and Wharves belonging to the Proprietors of Mill Pond Wharf,Map 81.3.1871.3 No. 24,Alexander Wadsworth,,,,,
42.35892,-71.059749,01_0098,"Boston, MA",1853-01-01,1853-06-09,"Plan of the Haskins Estate Embraceing Haskins Buildings on Tremont Row and the Pemberton House Estate, stables &c. on Howard Street",Map 81.3.1871.3 No. 22-24,Alexander Wadsworth,N.A. Thompson & Co.,Haskins Estate,,,
42.353233,-71.062537,01_0099,"Boston, MA",1851-01-01,1851-05-07,"Adams-House, Estate; Washington Street.",Map 81.3.1871.3 No. 23,Alexander Wadsworth,F.E. White,Adams Estate,,,
42.371311,-71.041667,01_0100,"Boston, MA",1836-01-01,1836-06-02,"Plan of Sections 1,2, & 3, East Boston",Map 81.3.1871.3 No. 20,,Whitwell Bond & Co.,,,,
42.37789,-71.037077,01_0101,"Boston, MA",1836-01-01,1836-06-02,"Plan of Sections 1,2, & 3, East Boston",Map 81.3.1871.3 No. 20,,Whitwell Bond & Co.,,,,
42.35669,-71.057269,01_0102,"Boston, MA",1835-01-01,1835-06-01,[No title],Map 81.3.1871.3 No. 21,S.P. Fuller,,,,,
42.357992,-71.060458,01_0103,"Boston, MA",1835-01-01,,"Plan of the Building Lots on Phillips Place, Tremont and Somerset Streets",Map 81.3.1871.3 No. 22,S.P. Fuller and Alex. Wadsworth,,,,,
42.3528,-71.067577,01_0104,"Boston, MA",1843-01-01,1843-11-01,[No title],Map 81.3.1871.3 No. 48,Alexander Wadsworth,,,,,
42.335494,-71.045668,01_0105,"Boston, MA",1859-01-01,,Plan of Boston Wharf and Vicinity,Map 81.3.1871.3 No. 59-60,C.H. Crosby's Lith.,,,,,
42.355213,-71.053986,01_0106,"Boston, MA",1849-01-01,,[No title],Map 81.3.1871.3 No. 59-60,Alexander Wadsworth,,,,2 maps,
42.340811,-71.067747,01_0107,"Boston, MA",1850-01-01,,Plan of the Proposed System for Sewage for the Backbay & Vicinity,Map 81.3.1871.3 No. 58,Tappan & Bradford,,,,,
42.348763,-71.066596,01_0108,"Boston, MA",1850-01-01,,Plan of the Proposed System for Sewage for the Backbay & Vicinity,Map 81.3.1871.3 No. 58,Tappan & Bradford,,,,,
42.3528,-71.067577,01_0109,"Boston, MA",,,Plan of Public Garden Showing proposed arrangement of Lots thereon,Map 81.3.1871.3 No. 56,Ezra Lincoln,,,,,
42.35615,-71.069419,01_0110,"Boston, MA",,,Plan of Public Garden Showing proposed arrangement of Lots thereon,Map 81.3.1871.3 No. 56,Ezra Lincoln,,,,,
42.352323,-71.057996,01_0111,"Boston, MA",1853-01-01,1856-05-20,"Plan of the Batterman Estate, corner of Essex and Lincoln Streets",Map 81.3.1871.3 No. 57,Alexander Wadsworth,N.A. Thompson & Co.,Batterman Estate,,,
42.350913,-71.058527,01_0112,"Boston, MA",1840-01-01,,Plan of Lands of the South Cove Corporation,Map 81.3.1871.3 No. 55,F. Jackson Ag'l,,,,,
42.356864,-71.055628,01_0113,"Boston, MA",1866-01-01,,Plan of Fort Hill Showing Improvements as Proposed by the Committee on Laying out and Widening Streets,Map 81.3.1871.3,"A. Meisel, Lith.",,,,,
42.357952,-71.053937,01_0114,"Boston, MA",1866-01-01,,Plan of Fort Hill Showing Improvements as Proposed by the Committee on Laying out and Widening Streets,Map 81.3.1871.3,"A. Meisel, Lith.",,,,,
42.354482,-71.056346,01_0115,"Boston, MA",1869-01-01,1869-07-13,Plan of Estate on Matthews Street belonging to the city of Boston,Map 81.3.1871.3 No. 52,Thomas W. Davis,N.A. Thompson & Co.,Matthews Street,,,
42.35561,-71.055619,01_0116,"Boston, MA",1869-01-01,1869-03-10,"Plan of the Estate Nos. 156 to 162 Congress Street no occupied by Clark, Adams & Clark",Map 81.3.1871.3 No. 51,Alexander Wadsworth,Samuel Hatch & Co.,,,,
42.345842,-71.075258,01_0117,"Boston, MA",1869-01-01,1869-07-19,"Plan of Building Lots on Columbus Avenue, and Various Streets and Squares West of said Avenue",Map 81.3.1871.3 No. 50,,N.A. Thompson & Co.,,,,
42.35966,-71.051805,01_0118,"Boston, MA",1852-01-01,1852-10-20,Plan of City Wharf,Map 81.3.1871.3 No. 38,E.L. Chesbrough,,,,,
42.353831,-71.071618,01_0119,"Boston, MA",1862-01-01,,Plan of Lands belonging to the Commonwealth of Massachusetts,Map 81.3.1871.3 No. 39,C.D. Andrews Lith.,,,,,
42.351462,-71.080468,01_0120,"Boston, MA",1862-01-01,,Plan of Lands belonging to the Commonwealth of Massachusetts,Map 81.3.1871.3 No. 39,C.D. Andrews Lith.,,,,,
42.365441,-71.051096,01_0121,"Boston, MA",1845-01-01,,"Plan of Lots in the Union Wharf Estate, Boston",Map 81.3.1871.3 No. 34,Felton and Parker,,Union Wharf Estate,,,
42.356761,-71.056217,01_0122,"Boston, MA",1842-01-01,1842-04-27,"Plan of Estate on Milk and Congress Street, belonging to the Estate of Richard D. Tuckes Esq. to be sold by Public Auction",Map 81.3.1871.3 No. 31,Waldo Higginson,,Richard D. Tuckes,,,
42.35921,-71.059366,01_0123,"Boston, MA",1845-01-01,1845-12-20,Plan of the Atheneum Land on Tremont Street,Map 81.3.1871.3 No. 30,Alexander Wadsworth,"Whitwell, Seaver & Co.",,,,
42.343393,-71.053696,01_0124,"Boston, MA",1837-01-01,,Plan of the Boston Wharf Company's Land,Map 81.3.1871.3 No. 109,Alexander Wadsworth,,,,,
42.34284,-71.057149,01_0125,"Boston, MA",1837-01-01,,Plan of the Boston Wharf Company's Land,Map 81.3.1871.3 No. 109,Alexander Wadsworth,,,,,
42.365233,-71.051009,01_0126,"Boston, MA",1845-01-01,,"Plan of Lots on the Union Wharf Estate, Boston",Map 81.3.1871.3 No. 108,Felton and Parker,F.E. White,,,,
42.37318,-71.120839,01_0128,"Boston, MA",1871-01-01,1871-06-22,Plan of the Brattle Square Church Property and Estate on the Corner of Brattle Square and Brattle St.,Map 81.3.1871.3 No. 106,,Samuel Hatch & Co.,,,,
42.34545,-71.06512,01_0129,"Boston, MA",1870-01-01,1870-04-25,"Plan of Estate, Nos. 1043-1059 Washington Street, Boston",Map 81.3.1871.3 No. 105,Alexander Wadsworth,J.K. Porter & Co.,William Brigham,,,
42.35007,-71.077377,01_0131,"Boston, MA",1855-01-01,,Plan of Public Library Lot,Map 81.3.1871.3 No. 103,S.P. Fuller and Alex. Wadsworth,,,,,
42.353063,-71.081275,01_0132 - 01_0133,"Boston, MA",,,Plan of Lands belonging to the Commonwealth of Massachusetts,Map 81.3.1871.3 No. 102,,,,,,
42.355481,-71.072426,01_0134,"Boston, MA",,,Plan of Lands belonging to the Commonwealth of Massachusetts,Map 81.3.1871.3 No. 102,,,,,,
42.351872,-71.070677,01_0135,"Boston, MA",,,Plan of Lands belonging to the Commonwealth of Massachusetts,Map 81.3.1871.3 No. 102,,,,,,
42.35731,-71.054896,01_0136,"Boston, MA",1858-01-01,,Plan of Estate on the Corner of Milk and Kilby Streets,Map 81.3.1871.3 No. 101,J.F. Fuller,N.A. Thompson & Co.,W.S. Phipps,,,
42.350664,-71.075236,01_0138,"Boston, MA",1872-01-01,1872-10-17,"Plan Showing the Location of a Triangular Lot of Land on the Back Bay, at the Junction of Huntington and St. James Avenues",Map 81.3.1871.3 No. 100,,N.A. Thompson & Co.,,,,
42.351453,-71.061136,01_0139,"Boston, MA",1880-01-01,1880-04-14,Plan of the Land belonging to the City of Boston,Map 81.3.1871.3 No. 119,Thos. W. Davis,L. Foster Morse,,,,
42.322862,-71.076677,01_0140,"Boston, MA",1891-01-01,,"Plan of Land in Roxbury, Boston, belonginig to the Estate of Leonard Ware, Deceased.",Map 81.3.1871.3 No. 118,Garbett & Wood,,,,,
42.34863,-71.071757,01_0141,"Boston, MA",1872-01-01,,[No title],Map 81.3.1871.3 No. 117,,,,,,
42.354812,-71.074826,01_0142,"Boston, MA",1872-01-01,,[No title],Map 81.3.1871.3 No. 117,,,,,,
42.348363,-71.083731,01_0143,"Boston, MA",1872-01-01,,[No title],Map 81.3.1871.3 No. 117,,,,,,
42.353063,-71.081275,01_0144,"Boston, MA",1872-01-01,,[No title],Map 81.3.1871.3 No. 117,,,,,,
42.34263,-71.051779,01_0145,"Boston, MA",1868-01-01,,Plan for the occupation of Flats Owned by the Commonwealth in Boston Harbor,Map 81.3.1871.3 No. 116,,,,,,
42.367444,-71.040708,01_0146,"Boston, MA",1858-01-01,,Plan of the Property of the East Boston Wharf Corporation,Map 81.3.1871.3 No. 115,John Noble,,,,,
42.369192,-71.040619,01_0147,"Boston, MA",1858-01-01,,Plan of the Property of the East Boston Wharf Corporation,Map 81.3.1871.3 No. 115,John Noble,,,,,
42.340811,-71.053928,01_0148,"Boston, MA",,,"Plan of Flats, belonging to the Commonwealth, lying between Fore Pt. Channel and South Boston",Map 81.3.1871.3 No. 114,,,,,,
42.351614,-71.057238,01_0149,"Boston, MA",,,"Plan of Flats, belonging to the Commonwealth, lying between Fore Pt. Channel and South Boston",Map 81.3.1871.3 No. 114,,,,,,
42.357011,-71.065815,01_0150,"Boston, MA",1856-01-01,1856-04-30,Plan of the Mansion House Estate of the late Saml. Appleton Esqr. Deceased,Map 81.3.1871.3 No. 113,Alexander Wadsworth,N.A. Thompson & Co.,Saml. Appleton,,,
42.354548,-71.062917,01_0151,"Boston, MA",1850-01-01,,Plan presented to the Honorable The State Commissioners for the improvement of the Back Bay,Map 81.3.1871.3 No. 112,,,,,,
42.345842,-71.075258,01_0152,"Boston, MA",1850-01-01,,Plan presented to the Honorable The State Commissioners for the improvement of the Back Bay,Map 81.3.1871.3 No. 112,,,,,,
42.35648,-71.059391,01_0153,"Boston, MA",1856-01-01,1856-05-22,Plan of the Meledeon Estate on Washington Street belonging to the Proprietors of the Boston Theatre,Map 81.3.1871.3 No. 111,Alexander Wadsworth,N.A. Thompson & Co.,,,,
42.3466,-71.064589,01_0154,"Boston, MA",1855-01-01,1855-03-17,Plan of the late Joseph Lovering's Estate on Washington St. between the Rev. Mr. Huntington's Church & the Boston Female Asylum,Map 81.3.1871.3 No. 110,Alexander Wadsworth,N.A. Thompson & Co.,Joseph Lovering,,,
